"transab_cat","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Very high transfer dependency","2014","in school","West Germany","53","0.0622770493572111","0.0449936402857188","0.0795604584287034","4"
"Very high transfer dependency","2014","in school","East Germany","6","","","","4"
"Very low transfer dependency","2014","general elemantary","West Germany","1140","0.324551968931339","0.30716613091112","0.341937806951557","1"
"Very low transfer dependency","2014","general elemantary","East Germany","112","0.304196066835773","0.258418525324282","0.349973608347264","1"
"Very low transfer dependency","2014","middle vocational","West Germany","4367","0.326812068451431","0.317435674986011","0.336188461916851","1"
"Very low transfer dependency","2014","middle vocational","East Germany","965","0.273863181518405","0.257407245068012","0.290319117968798","1"
"Very low transfer dependency","2014","vocational + Abi","West Germany","980","0.436032452105819","0.412637931019254","0.459426973192385","1"
"Very low transfer dependency","2014","vocational + Abi","East Germany","131","0.293070496065943","0.241129390842955","0.345011601288932","1"
"Very low transfer dependency","2014","higher vocational","West Germany","620","0.38977271932311","0.361946217272078","0.417599221374141","1"
"Very low transfer dependency","2014","higher vocational","East Germany","160","0.341217610616894","0.295042569727921","0.387392651505867","1"
"Very low transfer dependency","2014","higher education","West Germany","2474","0.373064769912773","0.359282492803787","0.38684704702176","1"
"Very low transfer dependency","2014","higher education","East Germany","522","0.284803886926699","0.261428322246814","0.308179451606583","1"
"Very low transfer dependency","2014","in school","East Germany","84","0.857036658245166","0.793061522553432","0.921011793936899","1"
"Very low transfer dependency","2014","in school","West Germany","566","0.797727699854316","0.768998491081164","0.826456908627469","1"
"Very low transfer dependency","2014","inadequately","East Germany","5","","","","1"
"Very low transfer dependency","2014","inadequately","West Germany","117","0.277222538978829","0.234962876423215","0.319482201534444","1"
"Complete transfer dependency","2015","in school","West Germany","22","","","","5"
"Complete transfer dependency","2015","in school","East Germany","6","","","","5"
"Complete transfer dependency","2015","inadequately","West Germany","73","0.108200979595648","0.0798448651736213","0.136557094017675","5"
"Complete transfer dependency","2015","inadequately","East Germany","13","","","","5"
"Complete transfer dependency","2015","general elemantary","West Germany","137","0.039963132895349","0.0325363011814744","0.0473899646092235","5"
"Complete transfer dependency","2015","higher vocational","West Germany","3","","","","5"
"Complete transfer dependency","2015","higher vocational","East Germany","2","","","","5"
"Complete transfer dependency","2015","higher education","West Germany","51","0.00665489999233465","0.00439424422804842","0.00891555575662088","5"
"Complete transfer dependency","2015","higher education","East Germany","4","","","","5"
"Complete transfer dependency","2015","general elemantary","East Germany","38","0.125361317355541","0.0918023642670088","0.158920270444073","5"
"Complete transfer dependency","2015","middle vocational","West Germany","155","0.0191465015909236","0.0163726317386144","0.0219203714432328","5"
"Complete transfer dependency","2015","middle vocational","East Germany","65","0.0249112440212682","0.0190465821695317","0.0307759058730047","5"
"Complete transfer dependency","2015","vocational + Abi","West Germany","32","0.0165693318479623","0.0107681565276038","0.0223705071683207","5"
"Complete transfer dependency","2015","vocational + Abi","East Germany","6","","","","5"
"High transfer dependency","2015","higher vocational","West Germany","13","","","","3"
"High transfer dependency","2015","higher vocational","East Germany","6","","","","3"
"High transfer dependency","2015","higher education","West Germany","74","0.0154760899009102","0.0120440103273112","0.0189081694745092","3"
"High transfer dependency","2015","higher education","East Germany","24","","","","3"
"High transfer dependency","2015","middle vocational","East Germany","159","0.0427828879261968","0.0351680008129761","0.0503977750394175","3"
"High transfer dependency","2015","vocational + Abi","West Germany","66","0.0230218940863171","0.0162062867715402","0.0298375014010941","3"
"High transfer dependency","2015","inadequately","East Germany","11","","","","3"
"High transfer dependency","2015","general elemantary","East Germany","44","0.0710595464268074","0.0450209576183464","0.0970981352352684","3"
"High transfer dependency","2015","middle vocational","West Germany","299","0.0203631052268392","0.0175042388237072","0.0232219716299712","3"
"High transfer dependency","2015","vocational + Abi","East Germany","14","","","","3"
"High transfer dependency","2015","inadequately","West Germany","62","0.123425778400017","0.0933999558863745","0.15345160091366","3"
"High transfer dependency","2015","in school","West Germany","42","0.0713447549178055","0.0514028616629851","0.0912866481726259","3"
"High transfer dependency","2015","in school","East Germany","9","","","","3"
"High transfer dependency","2015","general elemantary","West Germany","196","0.0537705144209691","0.0452178742959508","0.0623231545459874","3"
"Low transfer dependency","2015","general elemantary","West Germany","308","0.0745558716892133","0.0645961800525402","0.0845155633258863","2"
"Low transfer dependency","2015","general elemantary","East Germany","51","0.0835075284300833","0.055470011045114","0.111545045815053","2"
"Low transfer dependency","2015","middle vocational","West Germany","585","0.043869120188084","0.0397236153503635","0.0480146250258045","2"
"Low transfer dependency","2015","middle vocational","East Germany","271","0.0801841557320921","0.0699649317577907","0.0904033797063936","2"
"Low transfer dependency","2015","higher education","East Germany","74","0.0547885961028223","0.0429523637699591","0.0666248284356855","2"
"Low transfer dependency","2015","inadequately","East Germany","11","","","","2"
"Low transfer dependency","2015","vocational + Abi","West Germany","129","0.0417725466464205","0.0326802959903645","0.0508647973024764","2"
"Low transfer dependency","2015","vocational + Abi","East Germany","32","0.103919414207457","0.0687373717245862","0.139101456690327","2"
"Low transfer dependency","2015","higher vocational","West Germany","41","0.0402311959636121","0.028743584937175","0.0517188069900492","2"
"Low transfer dependency","2015","higher education","West Germany","181","0.0346388023809181","0.0295543996191881","0.039723205142648","2"
"Low transfer dependency","2015","in school","West Germany","57","0.0654731800709906","0.0463092001763888","0.0846371599655924","2"
"Low transfer dependency","2015","inadequately","West Germany","78","0.200653567991154","0.164095049152748","0.237212086829559","2"
"Low transfer dependency","2015","higher vocational","East Germany","18","","","","2"
"Low transfer dependency","2015","in school","East Germany","14","","","","2"
"No transfer dependency","2015","general elemantary","West Germany","822","0.493378941435273","0.474422282886586","0.512335599983959","0"
"No transfer dependency","2015","general elemantary","East Germany","105","0.375199349665209","0.326129574864531","0.424269124465886","0"
"No transfer dependency","2015","middle vocational","West Germany","3952","0.583951648671544","0.573974656330433","0.593928641012655","0"
"No transfer dependency","2015","middle vocational","East Germany","1215","0.541373778554271","0.52262377979668","0.560123777311861","0"
"No transfer dependency","2015","higher education","East Germany","807","0.657905415182278","0.63323032496867","0.682580505395885","0"
"No transfer dependency","2015","vocational + Abi","West Germany","562","0.485134503388464","0.462421759960101","0.507847246816826","0"
"No transfer dependency","2015","higher education","West Germany","2111","0.583633325454965","0.569926981860159","0.597339669049771","0"
"No transfer dependency","2015","inadequately","East Germany","7","","","","0"
"No transfer dependency","2015","in school","East Germany","","","","","0"
"No transfer dependency","2015","higher vocational","East Germany","216","0.636845260624782","0.589598789776815","0.684091731472749","0"
"No transfer dependency","2015","vocational + Abi","East Germany","84","0.413376635353006","0.356602332393687","0.470150938312326","0"
"No transfer dependency","2015","higher vocational","West Germany","480","0.572501854837865","0.543580375606771","0.601423334068958","0"
"No transfer dependency","2015","in school","West Germany","6","","","","0"
"No transfer dependency","2015","inadequately","West Germany","66","0.237484046183768","0.198638671435852","0.276329420931685","0"
"Very high transfer dependency","2015","higher education","East Germany","21","","","","4"
"Very high transfer dependency","2015","general elemantary","West Germany","134","0.0274047131547877","0.0212144576535419","0.0335949686560334","4"
"Very high transfer dependency","2015","general elemantary","East Germany","30","0.0560729901374133","0.0327567588607137","0.0793892214141129","4"
"Very high transfer dependency","2015","middle vocational","West Germany","183","0.0149633066534539","0.0125058872440062","0.0174207260629017","4"
"Very high transfer dependency","2015","middle vocational","East Germany","92","0.0348545499381237","0.0279529573665111","0.0417561425097362","4"
"Very high transfer dependency","2015","vocational + Abi","West Germany","45","0.014036827095186","0.00869048873578113","0.0193831654545909","4"
"Very high transfer dependency","2015","higher education","West Germany","59","0.00747963399145116","0.00508398338065298","0.00987528460224934","4"
"Very high transfer dependency","2015","vocational + Abi","East Germany","16","","","","4"
"Very high transfer dependency","2015","higher vocational","West Germany","6","","","","4"
"Very high transfer dependency","2015","higher vocational","East Germany","3","","","","4"
"Very high transfer dependency","2015","inadequately","East Germany","6","","","","4"
"Very high transfer dependency","2015","in school","East Germany","9","","","","4"
"Very high transfer dependency","2015","inadequately","West Germany","49","0.0777811562973255","0.0533326786450905","0.102229633949561","4"
"Very high transfer dependency","2015","in school","West Germany","45","0.0352787448274347","0.0209860016461023","0.0495714880087672","4"
"Very low transfer dependency","2015","higher vocational","West Germany","581","0.370132387126899","0.341905166453938","0.39835960779986","1"
"Very low transfer dependency","2015","higher vocational","East Germany","153","0.331895483757749","0.285632948387679","0.378158019127819","1"
"Very low transfer dependency","2015","higher education","West Germany","2493","0.352117248279421","0.338837022722712","0.365397473836129","1"
"Very low transfer dependency","2015","higher education","East Germany","490","0.25795848704697","0.235202643956549","0.280714330137391","1"
"Very low transfer dependency","2015","in school","West Germany","468","0.802300103723927","0.771444805457318","0.833155401990536","1"
"Very low transfer dependency","2015","in school","East Germany","82","0.776478362127036","0.701939641810991","0.851017082443081","1"
"Very low transfer dependency","2015","inadequately","West Germany","133","0.252454471532087","0.212798555523454","0.29211038754072","1"
"Very low transfer dependency","2015","inadequately","East Germany","3","","","","1"
"Very low transfer dependency","2015","general elemantary","West Germany","1075","0.310926826404409","0.293376239971888","0.328477412836929","1"
"Very low transfer dependency","2015","general elemantary","East Germany","106","0.288799267984947","0.24286821187235","0.334730324097543","1"
"Very low transfer dependency","2015","middle vocational","West Germany","4202","0.317706317669155","0.308282260930984","0.327130374407327","1"
"Very low transfer dependency","2015","middle vocational","East Germany","911","0.275893383828049","0.259074580394017","0.29271218726208","1"
"Very low transfer dependency","2015","vocational + Abi","West Germany","1026","0.419464896935651","0.397038801146573","0.441890992724728","1"
"Very low transfer dependency","2015","vocational + Abi","East Germany","137","0.389234818140811","0.33302112141916","0.445448514862462","1"
"Complete transfer dependency","2016","in school","West Germany","16","","","","5"
"Complete transfer dependency","2016","in school","East Germany","5","","","","5"
"Complete transfer dependency","2016","inadequately","West Germany","39","0.0706610108505514","0.0439664081307787","0.0973556135703241","5"
"Complete transfer dependency","2016","inadequately","East Germany","6","","","","5"
"Complete transfer dependency","2016","general elemantary","West Germany","100","0.0378762217450398","0.0301629980506648","0.0455894454394148","5"
"Complete transfer dependency","2016","higher vocational","West Germany","4","","","","5"
"Complete transfer dependency","2016","higher vocational","East Germany","","","","","5"
"Complete transfer dependency","2016","higher education","West Germany","35","0.00575001426038378","0.00354673751600033","0.00795329100476724","5"
"Complete transfer dependency","2016","higher education","East Germany","2","","","","5"
"Complete transfer dependency","2016","general elemantary","East Germany","27","","","","5"
"Complete transfer dependency","2016","middle vocational","West Germany","116","0.014558936903479","0.011996097515226","0.017121776291732","5"
"Complete transfer dependency","2016","middle vocational","East Germany","56","0.0231724275915135","0.0173087727495236","0.0290360824335035","5"
"Complete transfer dependency","2016","vocational + Abi","West Germany","28","","","","5"
"Complete transfer dependency","2016","vocational + Abi","East Germany","9","","","","5"
"High transfer dependency","2016","general elemantary","East Germany","40","0.0781546837214299","0.0495395175290481","0.106769849913812","3"
"High transfer dependency","2016","middle vocational","West Germany","235","0.0215263636694975","0.018421081058638","0.024631646280357","3"
"High transfer dependency","2016","middle vocational","East Germany","112","0.0366936822648768","0.0293662547890198","0.0440211097407338","3"
"High transfer dependency","2016","vocational + Abi","West Germany","44","0.0173876226039491","0.0112371346916089","0.0235381105162893","3"
"High transfer dependency","2016","vocational + Abi","East Germany","5","","","","3"
"High transfer dependency","2016","higher vocational","West Germany","14","","","","3"
"High transfer dependency","2016","in school","West Germany","37","0.0495661092830405","0.0321554868493848","0.0669767317166961","3"
"High transfer dependency","2016","in school","East Germany","7","","","","3"
"High transfer dependency","2016","inadequately","East Germany","11","","","","3"
"High transfer dependency","2016","general elemantary","West Germany","175","0.0543906777732091","0.0452273075125724","0.0635540480338458","3"
"High transfer dependency","2016","higher vocational","East Germany","6","","","","3"
"High transfer dependency","2016","higher education","West Germany","52","0.013525617957096","0.0101596633352242","0.0168915725789678","3"
"High transfer dependency","2016","higher education","East Germany","13","","","","3"
"High transfer dependency","2016","inadequately","West Germany","43","0.140966656728939","0.104716518201697","0.177216795256181","3"
"Low transfer dependency","2016","general elemantary","West Germany","274","0.0796187793815176","0.0686810100699393","0.0905565486930959","2"
"Low transfer dependency","2016","general elemantary","East Germany","52","0.0997355803733258","0.0677908046343497","0.131680356112302","2"
"Low transfer dependency","2016","middle vocational","West Germany","572","0.0513807364372984","0.0466569814589993","0.0561044914155975","2"
"Low transfer dependency","2016","middle vocational","East Germany","262","0.0979251441359804","0.0863415835402994","0.109508704731661","2"
"Low transfer dependency","2016","inadequately","East Germany","4","","","","2"
"Low transfer dependency","2016","higher education","East Germany","61","0.0376306558825109","0.0274339047829807","0.0478274069820411","2"
"Low transfer dependency","2016","inadequately","West Germany","64","0.155639062819733","0.117875772260654","0.193402353378813","2"
"Low transfer dependency","2016","vocational + Abi","West Germany","142","0.0570698816315026","0.0461544329722304","0.0679853302907749","2"
"Low transfer dependency","2016","in school","West Germany","59","0.0778560108445475","0.0563625490781747","0.0993494726109204","2"
"Low transfer dependency","2016","in school","East Germany","9","","","","2"
"Low transfer dependency","2016","vocational + Abi","East Germany","28","","","","2"
"Low transfer dependency","2016","higher vocational","West Germany","32","0.034150231942954","0.0230911307467714","0.0452093331391366","2"
"Low transfer dependency","2016","higher education","West Germany","184","0.033888585246647","0.0286159574008341","0.0391612130924598","2"
"Low transfer dependency","2016","higher vocational","East Germany","19","","","","2"
"No transfer dependency","2016","general elemantary","West Germany","739","0.48128167642321","0.461093244584498","0.501470108261923","0"
"No transfer dependency","2016","general elemantary","East Germany","94","0.398580980202325","0.346385054345214","0.450776906059435","0"
"No transfer dependency","2016","middle vocational","West Germany","3619","0.576491688117543","0.565919406461791","0.587063969773295","0"
"No transfer dependency","2016","inadequately","East Germany","5","","","","0"
"No transfer dependency","2016","middle vocational","East Germany","1129","0.517753224590325","0.498278570667305","0.537227878513346","0"
"No transfer dependency","2016","higher education","East Germany","782","0.673174162104153","0.648041300187874","0.698307024020431","0"
"No transfer dependency","2016","vocational + Abi","West Germany","532","0.483419075627915","0.459904917967012","0.506933233288818","0"
"No transfer dependency","2016","in school","West Germany","6","","","","0"
"No transfer dependency","2016","in school","East Germany","","","","","0"
"No transfer dependency","2016","inadequately","West Germany","63","0.284510625514704","0.237510685946443","0.331510565082965","0"
"No transfer dependency","2016","higher education","West Germany","1886","0.563898485752059","0.549448046307051","0.578348925197067","0"
"No transfer dependency","2016","vocational + Abi","East Germany","83","0.428570175765462","0.36975951440596","0.487380837124964","0"
"No transfer dependency","2016","higher vocational","West Germany","470","0.592984221224579","0.563068780534358","0.622899661914799","0"
"No transfer dependency","2016","higher vocational","East Germany","201","0.618463360711222","0.568765216505952","0.668161504916492","0"
"Very high transfer dependency","2016","general elemantary","West Germany","124","0.0264447950504327","0.0199616233785469","0.0329279667223185","4"
"Very high transfer dependency","2016","general elemantary","East Germany","22","","","","4"
"Very high transfer dependency","2016","middle vocational","West Germany","174","0.0141392618507757","0.0116130929472088","0.0166654307543426","4"
"Very high transfer dependency","2016","middle vocational","East Germany","79","0.0286353579134197","0.0221353164092985","0.0351353994175409","4"
"Very high transfer dependency","2016","higher education","East Germany","17","","","","4"
"Very high transfer dependency","2016","vocational + Abi","West Germany","43","0.0175916813587445","0.011405850481552","0.023777512235937","4"
"Very high transfer dependency","2016","higher education","West Germany","52","0.00913956996118151","0.00636653135209048","0.0119126085702725","4"
"Very high transfer dependency","2016","inadequately","East Germany","10","","","","4"
"Very high transfer dependency","2016","vocational + Abi","East Germany","9","","","","4"
"Very high transfer dependency","2016","higher vocational","West Germany","7","","","","4"
"Very high transfer dependency","2016","in school","East Germany","5","","","","4"
"Very high transfer dependency","2016","higher vocational","East Germany","1","","","","4"
"Very high transfer dependency","2016","in school","West Germany","30","0.0332752014677091","0.018888120030036","0.0476622829053821","4"
"Very high transfer dependency","2016","inadequately","West Germany","61","0.134387337708778","0.0988579735305964","0.16991670188696","4"
"Very low transfer dependency","2016","in school","West Germany","449","0.802342988291946","0.770398416650618","0.834287559933274","1"
"Very low transfer dependency","2016","in school","East Germany","82","0.853895167260058","0.787280359060029","0.920509975460087","1"
"Very low transfer dependency","2016","inadequately","West Germany","84","0.213835306377294","0.171123992179958","0.25654662057463","1"
"Very low transfer dependency","2016","inadequately","East Germany","9","","","","1"
"Very low transfer dependency","2016","general elemantary","West Germany","941","0.32038784962659","0.30153375364709","0.339241945606091","1"
"Very low transfer dependency","2016","general elemantary","East Germany","103","0.293918872375447","0.245353046423833","0.342484698327062","1"
"Very low transfer dependency","2016","middle vocational","West Germany","3675","0.321903013021406","0.311906474159555","0.331899551883257","1"
"Very low transfer dependency","2016","middle vocational","East Germany","891","0.295820163503884","0.278032071977515","0.313608255030254","1"
"Very low transfer dependency","2016","vocational + Abi","West Germany","946","0.409793974482493","0.386652930108572","0.432935018856414","1"
"Very low transfer dependency","2016","vocational + Abi","East Germany","138","0.4249481469922","0.366201225599166","0.483695068385235","1"
"Very low transfer dependency","2016","higher vocational","West Germany","509","0.341259904965248","0.312388501547908","0.370131308382588","1"
"Very low transfer dependency","2016","higher vocational","East Germany","140","0.343360956558859","0.294781364334157","0.391940548783561","1"
"Very low transfer dependency","2016","higher education","West Germany","2315","0.373797726822633","0.3596995666369","0.387895887008366","1"
"Very low transfer dependency","2016","higher education","East Germany","463","0.264125072951677","0.240502518856203","0.28774762704715","1"
"Complete transfer dependency","2017","in school","West Germany","18","","","","5"
"Complete transfer dependency","2017","in school","East Germany","5","","","","5"
"Complete transfer dependency","2017","inadequately","West Germany","529","0.157235685837398","0.134785702002783","0.179685669672012","5"
"Complete transfer dependency","2017","inadequately","East Germany","116","0.214086884136257","0.155607944670111","0.272565823602403","5"
"Complete transfer dependency","2017","general elemantary","West Germany","363","0.0374115961475443","0.0303863754257438","0.0444368168693448","5"
"Complete transfer dependency","2017","general elemantary","East Germany","85","0.130631867265857","0.0994954771577201","0.161768257373993","5"
"Complete transfer dependency","2017","middle vocational","West Germany","312","0.0138015829359884","0.0114489848808653","0.0161541809911116","5"
"Complete transfer dependency","2017","middle vocational","East Germany","97","0.0259196409605187","0.0201305454926507","0.0317087364283867","5"
"Complete transfer dependency","2017","vocational + Abi","West Germany","61","0.0231786842357441","0.0164463982374881","0.0299109702340002","5"
"Complete transfer dependency","2017","vocational + Abi","East Germany","13","","","","5"
"Complete transfer dependency","2017","higher vocational","West Germany","3","","","","5"
"Complete transfer dependency","2017","higher vocational","East Germany","1","","","","5"
"Complete transfer dependency","2017","higher education","West Germany","279","0.00675084278670356","0.00456173595415397","0.00893994961925315","5"
"Complete transfer dependency","2017","higher education","East Germany","44","0.0074506548215085","0.00310023648959108","0.0118010731534259","5"
"High transfer dependency","2017","inadequately","East Germany","20","","","","3"
"High transfer dependency","2017","general elemantary","West Germany","212","0.0487668297394846","0.040793452776907","0.0567402067020622","3"
"High transfer dependency","2017","general elemantary","East Germany","48","0.0699873663724022","0.0464153852897548","0.0935593474550496","3"
"High transfer dependency","2017","middle vocational","West Germany","293","0.023505112284214","0.0204500695793681","0.0265601549890599","3"
"High transfer dependency","2017","middle vocational","East Germany","143","0.0356991294865225","0.0289393283459271","0.0424589306271178","3"
"High transfer dependency","2017","vocational + Abi","West Germany","61","0.0286550252151563","0.0211905763033465","0.036119474126966","3"
"High transfer dependency","2017","in school","West Germany","40","0.0547604130058808","0.0373503445126726","0.0721704814990889","3"
"High transfer dependency","2017","in school","East Germany","9","","","","3"
"High transfer dependency","2017","inadequately","West Germany","80","0.0905554288167768","0.0728570793104428","0.108253778323111","3"
"High transfer dependency","2017","vocational + Abi","East Germany","11","","","","3"
"High transfer dependency","2017","higher vocational","West Germany","13","","","","3"
"High transfer dependency","2017","higher vocational","East Germany","4","","","","3"
"High transfer dependency","2017","higher education","West Germany","81","0.0113593156025217","0.00852626599656834","0.014192365208475","3"
"High transfer dependency","2017","higher education","East Germany","21","","","","3"
"Low transfer dependency","2017","general elemantary","West Germany","295","0.086272614654534","0.0758786474306368","0.0966665818784312","2"
"Low transfer dependency","2017","general elemantary","East Germany","65","0.135323357344823","0.103718409357078","0.166928305332568","2"
"Low transfer dependency","2017","inadequately","East Germany","9","","","","2"
"Low transfer dependency","2017","middle vocational","West Germany","584","0.0425283572919494","0.0384592101209939","0.046597504462905","2"
"Low transfer dependency","2017","higher education","East Germany","80","0.0447582598627265","0.0342977949478645","0.0552187247775885","2"
"Low transfer dependency","2017","inadequately","West Germany","80","0.118332438356331","0.0984123279011883","0.138252548811473","2"
"Low transfer dependency","2017","middle vocational","East Germany","232","0.0707927806181115","0.0614484197763716","0.0801371414598513","2"
"Low transfer dependency","2017","vocational + Abi","East Germany","27","","","","2"
"Low transfer dependency","2017","higher education","West Germany","195","0.0345772318960829","0.0296928148700911","0.0394616489220747","2"
"Low transfer dependency","2017","in school","West Germany","59","0.0745599391831205","0.0544586879482146","0.0946611904180263","2"
"Low transfer dependency","2017","in school","East Germany","14","","","","2"
"Low transfer dependency","2017","higher vocational","West Germany","37","0.0201775471894251","0.0120118342518841","0.0283432601269661","2"
"Low transfer dependency","2017","vocational + Abi","West Germany","116","0.0455918587710861","0.0362588575936546","0.0549248599485175","2"
"Low transfer dependency","2017","higher vocational","East Germany","14","","","","2"
"No transfer dependency","2017","general elemantary","West Germany","799","0.477755161803204","0.459263484149841","0.496246839456567","0"
"No transfer dependency","2017","general elemantary","East Germany","110","0.390984110372468","0.345898733946139","0.436069486798797","0"
"No transfer dependency","2017","middle vocational","West Germany","4058","0.590021225923557","0.580103419273171","0.599939032573943","0"
"No transfer dependency","2017","higher education","East Germany","844","0.664403523656581","0.640515379866418","0.688291667446744","0"
"No transfer dependency","2017","middle vocational","East Germany","1317","0.550352665270099","0.532228610063328","0.568476720476869","0"
"No transfer dependency","2017","higher education","West Germany","2169","0.563567619768779","0.550309243033158","0.5768259965044","0"
"No transfer dependency","2017","inadequately","East Germany","14","","","","0"
"No transfer dependency","2017","in school","West Germany","5","","","","0"
"No transfer dependency","2017","in school","East Germany","","","","","0"
"No transfer dependency","2017","vocational + Abi","East Germany","97","0.419072546794324","0.365998206435901","0.472146887152747","0"
"No transfer dependency","2017","higher vocational","West Germany","544","0.598912328482053","0.570448880247413","0.627375776716693","0"
"No transfer dependency","2017","inadequately","West Germany","89","0.237229206495447","0.210994965124381","0.263463447866514","0"
"No transfer dependency","2017","vocational + Abi","West Germany","590","0.467874218039504","0.445549688704496","0.490198747374512","0"
"No transfer dependency","2017","higher vocational","East Germany","221","0.663849676620097","0.617498230966467","0.710201122273728","0"
"Very high transfer dependency","2017","general elemantary","West Germany","143","0.0339205683952701","0.0272190298396681","0.040622106950872","4"
"Very high transfer dependency","2017","general elemantary","East Germany","27","","","","4"
"Very high transfer dependency","2017","middle vocational","West Germany","181","0.0124923908071919","0.0102526686843984","0.0147321129299854","4"
"Very high transfer dependency","2017","middle vocational","East Germany","98","0.0303757418915157","0.0241230934541534","0.0366283903288781","4"
"Very high transfer dependency","2017","inadequately","East Germany","24","","","","4"
"Very high transfer dependency","2017","higher education","East Germany","12","","","","4"
"Very high transfer dependency","2017","in school","East Germany","3","","","","4"
"Very high transfer dependency","2017","vocational + Abi","West Germany","43","0.013458489262866","0.00830304089494082","0.0186139376307912","4"
"Very high transfer dependency","2017","in school","West Germany","25","","","","4"
"Very high transfer dependency","2017","inadequately","West Germany","115","0.1295486623281","0.108838852108297","0.150258472547902","4"
"Very high transfer dependency","2017","vocational + Abi","East Germany","12","","","","4"
"Very high transfer dependency","2017","higher education","West Germany","76","0.00614167251789262","0.00405302850698592","0.00823031652879931","4"
"Very high transfer dependency","2017","higher vocational","West Germany","4","","","","4"
"Very high transfer dependency","2017","higher vocational","East Germany","2","","","","4"
"Very low transfer dependency","2017","in school","West Germany","509","0.814128034403511","0.784360047079029","0.843896021727993","1"
"Very low transfer dependency","2017","in school","East Germany","103","0.851636425337458","0.79145167679465","0.911821173880266","1"
"Very low transfer dependency","2017","inadequately","West Germany","117","0.267098578165948","0.239812194939894","0.294384961392001","1"
"Very low transfer dependency","2017","inadequately","East Germany","6","","","","1"
"Very low transfer dependency","2017","general elemantary","West Germany","991","0.315873229259963","0.298664006947469","0.333082451572457","1"
"Very low transfer dependency","2017","general elemantary","East Germany","115","0.24962305844228","0.209635588729026","0.289610528155535","1"
"Very low transfer dependency","2017","middle vocational","West Germany","4019","0.317651330757099","0.308263188812081","0.327039472702118","1"
"Very low transfer dependency","2017","middle vocational","East Germany","1007","0.286860041773233","0.27038140648311","0.303338677063356","1"
"Very low transfer dependency","2017","vocational + Abi","West Germany","1048","0.421241724475644","0.399150239918356","0.443333209032931","1"
"Very low transfer dependency","2017","vocational + Abi","East Germany","172","0.430116327996598","0.376860747751116","0.48337190824208","1"
"Very low transfer dependency","2017","higher vocational","West Germany","538","0.35227675921642","0.324535704737085","0.380017813695755","1"
"Very low transfer dependency","2017","higher vocational","East Germany","157","0.313101459719896","0.267597364228871","0.35860555521092","1"
"Very low transfer dependency","2017","higher education","West Germany","2575","0.37760331742802","0.36464315657126","0.390563478284781","1"
"Very low transfer dependency","2017","higher education","East Germany","500","0.267580499065108","0.245184784480841","0.289976213649375","1"
"Complete transfer dependency","2018","in school","West Germany","15","","","","5"
"Complete transfer dependency","2018","in school","East Germany","4","","","","5"
"Complete transfer dependency","2018","inadequately","West Germany","766","0.202582757323187","0.182085210202394","0.22308030444398","5"
"Complete transfer dependency","2018","inadequately","East Germany","161","0.301231284412834","0.244585892755119","0.357876676070548","5"
"Complete transfer dependency","2018","general elemantary","West Germany","433","0.0333356720501114","0.02679772700219","0.0398736170980329","5"
"Complete transfer dependency","2018","general elemantary","East Germany","97","0.0783920678820972","0.055018479200744","0.10176565656345","5"
"Complete transfer dependency","2018","middle vocational","West Germany","416","0.0134589161805672","0.0110955676575877","0.0158222647035466","5"
"Complete transfer dependency","2018","middle vocational","East Germany","122","0.0215024420124297","0.0161373978041441","0.0268674862207153","5"
"Complete transfer dependency","2018","vocational + Abi","West Germany","52","0.0153604108066418","0.00973503145560424","0.0209857901576794","5"
"Complete transfer dependency","2018","vocational + Abi","East Germany","13","","","","5"
"Complete transfer dependency","2018","higher vocational","West Germany","3","","","","5"
"Complete transfer dependency","2018","higher vocational","East Germany","1","","","","5"
"Complete transfer dependency","2018","higher education","West Germany","347","0.0103744679883531","0.00767219409480678","0.0130767418818993","5"
"Complete transfer dependency","2018","higher education","East Germany","56","0.00416332932898418","0.000865015368508297","0.00746164328946006","5"
"High transfer dependency","2018","general elemantary","West Germany","258","0.0496182396291298","0.0417092950054431","0.0575271842528165","3"
"High transfer dependency","2018","general elemantary","East Germany","64","0.129435299599521","0.100244692446002","0.158625906753041","3"
"High transfer dependency","2018","middle vocational","West Germany","327","0.0219244235196345","0.0189210078782809","0.024927839160988","3"
"High transfer dependency","2018","middle vocational","East Germany","134","0.043421001860913","0.0358829368263244","0.0509590668955016","3"
"High transfer dependency","2018","vocational + Abi","West Germany","57","0.019834888169106","0.0134570095344454","0.0262127668037666","3"
"High transfer dependency","2018","vocational + Abi","East Germany","6","","","","3"
"High transfer dependency","2018","higher vocational","West Germany","10","","","","3"
"High transfer dependency","2018","higher vocational","East Germany","2","","","","3"
"High transfer dependency","2018","higher education","West Germany","117","0.0122333553402438","0.00930171306259992","0.0151649976178877","3"
"High transfer dependency","2018","higher education","East Germany","23","","","","3"
"High transfer dependency","2018","in school","East Germany","11","","","","3"
"High transfer dependency","2018","inadequately","West Germany","177","0.136128522906131","0.118639845097405","0.153617200714858","3"
"High transfer dependency","2018","in school","West Germany","36","0.0337015375444106","0.0185648003280927","0.0488382747607286","3"
"High transfer dependency","2018","inadequately","East Germany","27","","","","3"
"Low transfer dependency","2018","general elemantary","West Germany","304","0.0840469769729672","0.0739417409623036","0.0941522129836307","2"
"Low transfer dependency","2018","general elemantary","East Germany","54","0.0841696039726653","0.0600260386509674","0.108313169294363","2"
