"transab_cat","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Very low transfer dependency","2013","16-34 y.","higher education","456","0.325748598396253","0.29812865816989","0.353368538622616","1"
"Very low transfer dependency","2013","35-65 y.","inadequately","109","0.24770736828748","0.202417793391382","0.292996943183578","1"
"Very low transfer dependency","2013","35-65 y.","middle vocational","4165","0.393326084132717","0.382759598958536","0.403892569306899","1"
"Very low transfer dependency","2013","35-65 y.","vocational + Abi","983","0.483314979890345","0.458920383589276","0.507709576191415","1"
"Very low transfer dependency","2013","16-34 y.","in school","763","0.80553285645416","0.781604576553905","0.829461136354414","1"
"Very low transfer dependency","2013","35-65 y.","in school","1","","","","1"
"Very low transfer dependency","2013","35-65 y.","higher education","2842","0.461132708982698","0.446618113532795","0.475647304432602","1"
"Very low transfer dependency","2013","35-65 y.","general elemantary","614","0.354248804362702","0.329790632117433","0.37870697660797","1"
"Very low transfer dependency","2013","35-65 y.","higher vocational","757","0.49763906623512","0.46949013281222","0.52578799965802","1"
"Complete transfer dependency","2014","66 and older","in school","","","","","5"
"Complete transfer dependency","2014","66 and older","inadequately","","","","","5"
"Complete transfer dependency","2014","66 and older","higher vocational","","","","","5"
"Complete transfer dependency","2014","66 and older","general elemantary","3","","","","5"
"Complete transfer dependency","2014","66 and older","vocational + Abi","1","","","","5"
"Complete transfer dependency","2014","66 and older","higher education","3","","","","5"
"Complete transfer dependency","2014","66 and older","middle vocational","1","","","","5"
"Complete transfer dependency","2014","16-34 y.","in school","13","","","","5"
"Complete transfer dependency","2014","16-34 y.","inadequately","26","","","","5"
"Complete transfer dependency","2014","16-34 y.","general elemantary","60","0.0628956087603549","0.0495749131991394","0.0762163043215703","5"
"Complete transfer dependency","2014","16-34 y.","middle vocational","44","0.0151493801209353","0.010520575918902","0.0197781843229686","5"
"Complete transfer dependency","2014","16-34 y.","vocational + Abi","10","","","","5"
"Complete transfer dependency","2014","16-34 y.","higher vocational","1","","","","5"
"Complete transfer dependency","2014","16-34 y.","higher education","9","","","","5"
"Complete transfer dependency","2014","35-65 y.","in school","","","","","5"
"Complete transfer dependency","2014","35-65 y.","inadequately","30","0.12187560184413","0.083693489996352","0.160057713691908","5"
"Complete transfer dependency","2014","35-65 y.","general elemantary","69","0.0556146885077638","0.0426534663757238","0.0685759106398037","5"
"Complete transfer dependency","2014","35-65 y.","middle vocational","147","0.0252553913536066","0.0216257071931774","0.0288850755140358","5"
"Complete transfer dependency","2014","35-65 y.","vocational + Abi","22","","","","5"
"Complete transfer dependency","2014","35-65 y.","higher vocational","2","","","","5"
"Complete transfer dependency","2014","35-65 y.","higher education","30","0.00809169054790279","0.00533491769018052","0.0108484634056251","5"
"High transfer dependency","2014","66 and older","in school","","","","","3"
"High transfer dependency","2014","66 and older","inadequately","1","","","","3"
"High transfer dependency","2014","66 and older","general elemantary","9","","","","3"
"High transfer dependency","2014","66 and older","vocational + Abi","2","","","","3"
"High transfer dependency","2014","66 and older","higher vocational","2","","","","3"
"High transfer dependency","2014","66 and older","higher education","3","","","","3"
"High transfer dependency","2014","66 and older","middle vocational","22","","","","3"
"High transfer dependency","2014","35-65 y.","in school","","","","","3"
"High transfer dependency","2014","35-65 y.","middle vocational","298","0.0314290778960444","0.0273928293918614","0.0354653264002275","3"
"High transfer dependency","2014","35-65 y.","vocational + Abi","54","0.0238194467291415","0.0158232991933635","0.0318155942649195","3"
"High transfer dependency","2014","35-65 y.","higher vocational","20","","","","3"
"High transfer dependency","2014","35-65 y.","higher education","60","0.0108408722126007","0.00765439526292484","0.0140273491622765","3"
"High transfer dependency","2014","16-34 y.","in school","55","0.0426864550241434","0.0292228521948567","0.0561500578534302","3"
"High transfer dependency","2014","16-34 y.","middle vocational","170","0.0588274336275793","0.0499105976303781","0.0677442696247805","3"
"High transfer dependency","2014","16-34 y.","inadequately","33","0.211097718935809","0.147059511297355","0.275135926574262","3"
"High transfer dependency","2014","16-34 y.","general elemantary","145","0.0721868208790933","0.0579870289614429","0.0863866127967437","3"
"High transfer dependency","2014","16-34 y.","vocational + Abi","20","","","","3"
"High transfer dependency","2014","16-34 y.","higher vocational","4","","","","3"
"High transfer dependency","2014","16-34 y.","higher education","30","0.0273449449533909","0.0169193195846516","0.0377705703221303","3"
"High transfer dependency","2014","35-65 y.","general elemantary","110","0.0642035417759452","0.0503408751550664","0.0780662083968241","3"
"High transfer dependency","2014","35-65 y.","inadequately","31","0.0767864148164198","0.0457110078088268","0.107861821824013","3"
"Low transfer dependency","2014","35-65 y.","vocational + Abi","114","0.0514029583075636","0.039823591065521","0.0629823255496063","2"
"Low transfer dependency","2014","66 and older","inadequately","8","","","","2"
"Low transfer dependency","2014","66 and older","general elemantary","33","0.0418281022874291","0.0269657518490621","0.0566904527257961","2"
"Low transfer dependency","2014","35-65 y.","general elemantary","157","0.0897780956559054","0.0736108728652618","0.105945318446549","2"
"Low transfer dependency","2014","35-65 y.","middle vocational","606","0.0608947770387107","0.055362632552175","0.0664269215252464","2"
"Low transfer dependency","2014","35-65 y.","higher vocational","60","0.0457660076203428","0.033483284746129","0.0580487304945567","2"
"Low transfer dependency","2014","35-65 y.","higher education","186","0.0328498424581784","0.027365062787894","0.0383346221284629","2"
"Low transfer dependency","2014","66 and older","in school","","","","","2"
"Low transfer dependency","2014","66 and older","vocational + Abi","6","","","","2"
"Low transfer dependency","2014","66 and older","higher vocational","8","","","","2"
"Low transfer dependency","2014","16-34 y.","in school","86","0.070819535263237","0.0537345064122069","0.0879045641142671","2"
"Low transfer dependency","2014","16-34 y.","inadequately","39","0.259746944250266","0.190937013655971","0.328556874844561","2"
"Low transfer dependency","2014","66 and older","middle vocational","46","0.0168484442719018","0.0118831587503259","0.0218137297934776","2"
"Low transfer dependency","2014","66 and older","higher education","2","","","","2"
"Low transfer dependency","2014","35-65 y.","in school","","","","","2"
"Low transfer dependency","2014","35-65 y.","inadequately","63","0.240471568146823","0.190591455861674","0.290351680431972","2"
"Low transfer dependency","2014","16-34 y.","middle vocational","332","0.114316881297761","0.102258734540161","0.126375028055361","2"
"Low transfer dependency","2014","16-34 y.","higher education","67","0.0535690400314436","0.0391749052337353","0.0679631748291518","2"
"Low transfer dependency","2014","16-34 y.","higher vocational","12","","","","2"
"Low transfer dependency","2014","16-34 y.","vocational + Abi","47","0.0664367814342455","0.044453081374125","0.0884204814943661","2"
"Low transfer dependency","2014","16-34 y.","general elemantary","212","0.122363129015443","0.104382475553218","0.140343782477668","2"
"No transfer dependency","2014","16-34 y.","in school","3","","","","0"
"No transfer dependency","2014","16-34 y.","inadequately","7","","","","0"
"No transfer dependency","2014","16-34 y.","general elemantary","93","0.165867205361267","0.1454582575257","0.186276153196834","0"
"No transfer dependency","2014","35-65 y.","general elemantary","281","0.389309034197805","0.361732824306239","0.416885244089372","0"
"No transfer dependency","2014","35-65 y.","middle vocational","2293","0.479716263626795","0.468158901787071","0.491273625466519","0"
"No transfer dependency","2014","35-65 y.","vocational + Abi","306","0.373084405516465","0.347723896116469","0.39844491491646","0"
"No transfer dependency","2014","35-65 y.","higher vocational","339","0.438986527562787","0.409818441094854","0.46815461403072","0"
"No transfer dependency","2014","66 and older","vocational + Abi","106","0.857359325036333","0.797474667029431","0.917243983043236","0"
"No transfer dependency","2014","35-65 y.","in school","","","","","0"
"No transfer dependency","2014","66 and older","general elemantary","557","0.828575178448339","0.800596028582196","0.856554328314482","0"
"No transfer dependency","2014","66 and older","middle vocational","2306","0.89781703062398","0.886131800548986","0.909502260698974","0"
"No transfer dependency","2014","66 and older","higher vocational","305","0.883035348281718","0.849024505683916","0.91704619087952","0"
"No transfer dependency","2014","16-34 y.","higher vocational","42","0.445619173418942","0.360178935297607","0.531059411540278","0"
"No transfer dependency","2014","35-65 y.","inadequately","35","0.183448063701728","0.138275783912529","0.228620343490926","0"
"No transfer dependency","2014","35-65 y.","higher education","1202","0.452597278098266","0.437280936903673","0.467913619292859","0"
"No transfer dependency","2014","66 and older","inadequately","28","","","","0"
"No transfer dependency","2014","66 and older","higher education","1044","0.899985752008557","0.882757790916703","0.917213713100412","0"
"No transfer dependency","2014","16-34 y.","vocational + Abi","173","0.535894075958657","0.491871782407495","0.579916369509819","0"
"No transfer dependency","2014","16-34 y.","higher education","462","0.618267158059566","0.587210693404166","0.649323622714966","0"
"No transfer dependency","2014","66 and older","in school","","","","","0"
"No transfer dependency","2014","16-34 y.","middle vocational","544","0.303440516113096","0.286018352542557","0.320862679683635","0"
"Very high transfer dependency","2014","35-65 y.","middle vocational","188","0.0191046863811523","0.0159378352361413","0.0222715375261633","4"
"Very high transfer dependency","2014","66 and older","in school","","","","","4"
"Very high transfer dependency","2014","16-34 y.","in school","59","0.0606479004661983","0.0447510446343126","0.0765447562980839","4"
"Very high transfer dependency","2014","35-65 y.","general elemantary","97","0.0600636720852975","0.0466257615667711","0.073501582603824","4"
"Very high transfer dependency","2014","35-65 y.","vocational + Abi","36","0.0181004885901123","0.0111096615251232","0.0250913156551014","4"
"Very high transfer dependency","2014","35-65 y.","higher vocational","7","","","","4"
"Very high transfer dependency","2014","35-65 y.","higher education","44","0.00801906415397197","0.00527459032306959","0.0107635379848744","4"
"Very high transfer dependency","2014","66 and older","middle vocational","6","","","","4"
"Very high transfer dependency","2014","66 and older","higher vocational","1","","","","4"
"Very high transfer dependency","2014","66 and older","inadequately","1","","","","4"
"Very high transfer dependency","2014","66 and older","general elemantary","3","","","","4"
"Very high transfer dependency","2014","66 and older","vocational + Abi","2","","","","4"
"Very high transfer dependency","2014","66 and older","higher education","8","","","","4"
"Very high transfer dependency","2014","35-65 y.","in school","","","","","4"
"Very high transfer dependency","2014","35-65 y.","inadequately","39","0.103907370511701","0.0682931726817494","0.139521568341653","4"
"Very high transfer dependency","2014","16-34 y.","higher vocational","2","","","","4"
"Very high transfer dependency","2014","16-34 y.","higher education","16","","","","4"
"Very high transfer dependency","2014","16-34 y.","general elemantary","93","0.0524568452040746","0.0402241166942552","0.0646895737138941","4"
"Very high transfer dependency","2014","16-34 y.","middle vocational","99","0.039493529167076","0.0321127991818789","0.0468742591522731","4"
"Very high transfer dependency","2014","16-34 y.","vocational + Abi","11","","","","4"
"Very high transfer dependency","2014","16-34 y.","inadequately","22","","","","4"
"Very low transfer dependency","2014","66 and older","inadequately","9","","","","1"
"Very low transfer dependency","2014","66 and older","general elemantary","92","0.115151912248616","0.091454461054044","0.138849363443189","1"
"Very low transfer dependency","2014","66 and older","middle vocational","200","0.0739572601078912","0.0638610120785697","0.0840535081372127","1"
"Very low transfer dependency","2014","66 and older","higher vocational","27","","","","1"
"Very low transfer dependency","2014","66 and older","higher education","105","0.088317383357678","0.0720232951857903","0.104611471529566","1"
"Very low transfer dependency","2014","66 and older","in school","","","","","1"
"Very low transfer dependency","2014","66 and older","vocational + Abi","14","","","","1"
"Very low transfer dependency","2014","35-65 y.","inadequately","84","0.273510980979199","0.221484380690063","0.325537581268334","1"
"Very low transfer dependency","2014","35-65 y.","in school","","","","","1"
"Very low transfer dependency","2014","35-65 y.","vocational + Abi","865","0.510089760694771","0.483875872119064","0.536303649270478","1"
"Very low transfer dependency","2014","35-65 y.","higher vocational","684","0.491046852234955","0.461663856947199","0.520429847522711","1"
"Very low transfer dependency","2014","35-65 y.","middle vocational","3646","0.383599803703691","0.372350725491716","0.394848881915665","1"
"Very low transfer dependency","2014","35-65 y.","higher education","2535","0.48760125252908","0.472220342803881","0.502982162254279","1"
"Very low transfer dependency","2014","16-34 y.","higher vocational","69","0.450518197828654","0.36499001578227","0.536046379875037","1"
"Very low transfer dependency","2014","16-34 y.","in school","650","0.803433605039487","0.776965748145328","0.829901461933647","1"
"Very low transfer dependency","2014","16-34 y.","general elemantary","673","0.524230390779768","0.496828394719095","0.55163238684044","1"
"Very low transfer dependency","2014","16-34 y.","vocational + Abi","232","0.359379306031741","0.317024602514792","0.401734009548689","1"
"Very low transfer dependency","2014","16-34 y.","inadequately","29","","","","1"
"Very low transfer dependency","2014","35-65 y.","general elemantary","487","0.341030967777283","0.314220400764158","0.367841534790408","1"
"Very low transfer dependency","2014","16-34 y.","middle vocational","1486","0.468772259673552","0.449861563269094","0.48768295607801","1"
"Very low transfer dependency","2014","16-34 y.","higher education","356","0.280933143124271","0.25220084994854","0.309665436300002","1"
"Complete transfer dependency","2015","66 and older","in school","","","","","5"
"Complete transfer dependency","2015","66 and older","inadequately","","","","","5"
"Complete transfer dependency","2015","66 and older","general elemantary","3","","","","5"
"Complete transfer dependency","2015","66 and older","middle vocational","2","","","","5"
"Complete transfer dependency","2015","66 and older","vocational + Abi","","","","","5"
"Complete transfer dependency","2015","66 and older","higher vocational","1","","","","5"
"Complete transfer dependency","2015","66 and older","higher education","4","","","","5"
"Complete transfer dependency","2015","16-34 y.","in school","28","","","","5"
"Complete transfer dependency","2015","16-34 y.","inadequately","33","0.132618145581529","0.0820785594561961","0.183157731706862","5"
"Complete transfer dependency","2015","16-34 y.","general elemantary","78","0.0819435600366634","0.0666589154025269","0.0972282046707998","5"
"Complete transfer dependency","2015","16-34 y.","middle vocational","56","0.0266381422106475","0.0204439471793675","0.0328323372419275","5"
"Complete transfer dependency","2015","16-34 y.","vocational + Abi","10","","","","5"
"Complete transfer dependency","2015","16-34 y.","higher vocational","1","","","","5"
"Complete transfer dependency","2015","16-34 y.","higher education","19","","","","5"
"Complete transfer dependency","2015","35-65 y.","in school","","","","","5"
"Complete transfer dependency","2015","35-65 y.","inadequately","53","0.139132724047048","0.0997065187281063","0.178558929365989","5"
"Complete transfer dependency","2015","35-65 y.","general elemantary","94","0.068326105285753","0.0536992733217802","0.0829529372497258","5"
"Complete transfer dependency","2015","35-65 y.","middle vocational","162","0.0277333427762462","0.0238716785634091","0.0315950069890833","5"
"Complete transfer dependency","2015","35-65 y.","vocational + Abi","28","","","","5"
"Complete transfer dependency","2015","35-65 y.","higher vocational","3","","","","5"
"Complete transfer dependency","2015","35-65 y.","higher education","32","0.00676306635434853","0.00423358061982336","0.0092925520888737","5"
"High transfer dependency","2015","66 and older","in school","","","","","3"
"High transfer dependency","2015","66 and older","inadequately","2","","","","3"
"High transfer dependency","2015","66 and older","middle vocational","12","","","","3"
"High transfer dependency","2015","66 and older","vocational + Abi","5","","","","3"
"High transfer dependency","2015","66 and older","higher vocational","2","","","","3"
"High transfer dependency","2015","66 and older","general elemantary","9","","","","3"
"High transfer dependency","2015","66 and older","higher education","5","","","","3"
"High transfer dependency","2015","35-65 y.","in school","","","","","3"
"High transfer dependency","2015","35-65 y.","middle vocational","275","0.0280245949961059","0.0241432878501919","0.0319059021420199","3"
"High transfer dependency","2015","35-65 y.","higher education","55","0.0103993394887515","0.00726845643242294","0.0135302225450802","3"
"High transfer dependency","2015","35-65 y.","vocational + Abi","43","0.0187861052231981","0.0118526943431104","0.0257195161032858","3"
"High transfer dependency","2015","35-65 y.","higher vocational","12","","","","3"
"High transfer dependency","2015","16-34 y.","general elemantary","133","0.0982160803159472","0.0816314504426899","0.114800710189205","3"
"High transfer dependency","2015","16-34 y.","higher vocational","5","","","","3"
"High transfer dependency","2015","16-34 y.","higher education","38","0.0347121665344522","0.0242009155814863","0.045223417487418","3"
"High transfer dependency","2015","16-34 y.","inadequately","34","0.162156481622028","0.107231027928855","0.217081935315202","3"
"High transfer dependency","2015","16-34 y.","in school","51","0.0726330979469891","0.0541814833509036","0.0910847125430746","3"
"High transfer dependency","2015","16-34 y.","middle vocational","171","0.0449088564064356","0.0369420520179487","0.0528756607949225","3"
"High transfer dependency","2015","35-65 y.","inadequately","37","0.105557179957543","0.0705527978309453","0.140561562084141","3"
"High transfer dependency","2015","35-65 y.","general elemantary","98","0.064247011433103","0.0500324962255875","0.0784615266406185","3"
"High transfer dependency","2015","16-34 y.","vocational + Abi","32","0.0437928896735164","0.0265173551280872","0.0610684242189457","3"
"Low transfer dependency","2015","16-34 y.","inadequately","34","0.263197341874538","0.197576562998241","0.328818120750835","2"
"Low transfer dependency","2015","35-65 y.","general elemantary","136","0.0972395032313931","0.0800630846547582","0.114415921808028","2"
"Low transfer dependency","2015","35-65 y.","middle vocational","533","0.0537699722181588","0.0484654170497268","0.0590745273865908","2"
"Low transfer dependency","2015","66 and older","higher vocational","5","","","","2"
"Low transfer dependency","2015","66 and older","higher education","5","","","","2"
"Low transfer dependency","2015","16-34 y.","in school","71","0.0662224484453598","0.0485431256101154","0.0839017712806043","2"
"Low transfer dependency","2015","35-65 y.","vocational + Abi","117","0.0480278434235602","0.0371082772681392","0.0589474095789813","2"
"Low transfer dependency","2015","35-65 y.","higher vocational","51","0.0520570162833931","0.0386460975759665","0.0654679349908197","2"
"Low transfer dependency","2015","35-65 y.","higher education","170","0.0433285725455856","0.0370450587577365","0.0496120863334346","2"
"Low transfer dependency","2015","66 and older","in school","","","","","2"
"Low transfer dependency","2015","66 and older","inadequately","5","","","","2"
"Low transfer dependency","2015","66 and older","general elemantary","34","0.0401337877999442","0.0252274347267442","0.0550401408731441","2"
"Low transfer dependency","2015","66 and older","vocational + Abi","8","","","","2"
"Low transfer dependency","2015","66 and older","middle vocational","50","0.0197635702695624","0.014358121707385","0.0251690188317397","2"
"Low transfer dependency","2015","35-65 y.","in school","","","","","2"
"Low transfer dependency","2015","16-34 y.","vocational + Abi","36","0.0601577981998811","0.040084111305336","0.0802314850944261","2"
"Low transfer dependency","2015","35-65 y.","inadequately","50","0.202431160960989","0.156656513596707","0.248205808325271","2"
"Low transfer dependency","2015","16-34 y.","middle vocational","273","0.0883802657772951","0.0774613313580702","0.0992992001965201","2"
"Low transfer dependency","2015","16-34 y.","higher vocational","3","","","","2"
"Low transfer dependency","2015","16-34 y.","general elemantary","189","0.0899685643748249","0.0740231124033234","0.105914016346326","2"
"Low transfer dependency","2015","16-34 y.","higher education","80","0.0597267910605903","0.046118714300693","0.0733348678204876","2"
"No transfer dependency","2015","16-34 y.","inadequately","12","","","","0"
"No transfer dependency","2015","16-34 y.","general elemantary","106","0.158484836986556","0.138133728338751","0.178835945634362","0"
"No transfer dependency","2015","35-65 y.","middle vocational","2308","0.490570910185173","0.47881453417576","0.502327286194587","0"
"No transfer dependency","2015","16-34 y.","in school","6","","","","0"
"No transfer dependency","2015","35-65 y.","general elemantary","284","0.419748532947805","0.391137885036826","0.448359180858784","0"
"No transfer dependency","2015","35-65 y.","vocational + Abi","338","0.404004345767595","0.378945487343433","0.429063204191757","0"
"No transfer dependency","2015","35-65 y.","in school","","","","","0"
"No transfer dependency","2015","35-65 y.","higher vocational","344","0.465968749668599","0.435853288557245","0.496084210779953","0"
"No transfer dependency","2015","16-34 y.","higher vocational","53","0.591433419924298","0.505259185285007","0.677607654563588","0"
"No transfer dependency","2015","35-65 y.","higher education","1225","0.45941133671003","0.444030912963468","0.474791760456593","0"
"No transfer dependency","2015","66 and older","inadequately","25","","","","0"
"No transfer dependency","2015","66 and older","higher education","1064","0.907496801072073","0.891041981009803","0.923951621134344","0"
"No transfer dependency","2015","16-34 y.","vocational + Abi","204","0.501963365208894","0.459752878045831","0.544173852371958","0"
"No transfer dependency","2015","16-34 y.","higher education","629","0.637891979026878","0.6102939687887","0.665489989265056","0"
"No transfer dependency","2015","66 and older","in school","","","","","0"
"No transfer dependency","2015","66 and older","vocational + Abi","104","0.7897301481322","0.721493816594076","0.857966479670323","0"
"No transfer dependency","2015","66 and older","higher vocational","299","0.879216958795734","0.8447302270051","0.913703690586368","0"
"No transfer dependency","2015","35-65 y.","inadequately","36","0.188731815095741","0.144155207309943","0.233308422881539","0"
"No transfer dependency","2015","16-34 y.","middle vocational","599","0.348017031833822","0.32969329179847","0.366340771869174","0"
"No transfer dependency","2015","66 and older","middle vocational","2260","0.898148067849766","0.886402007589726","0.909894128109806","0"
"No transfer dependency","2015","66 and older","general elemantary","537","0.834618764661141","0.80640258807698","0.862834941245303","0"
"Very high transfer dependency","2015","16-34 y.","in school","54","0.0359986412798557","0.0227545192847347","0.0492427632749767","4"
"Very high transfer dependency","2015","35-65 y.","higher education","48","0.00779815570136163","0.00508340504923648","0.0105129063534868","4"
"Very high transfer dependency","2015","66 and older","vocational + Abi","5","","","","4"
"Very high transfer dependency","2015","66 and older","higher vocational","","","","","4"
"Very high transfer dependency","2015","35-65 y.","general elemantary","73","0.0438925475045516","0.0320164509061","0.0557686441030033","4"
"Very high transfer dependency","2015","35-65 y.","middle vocational","176","0.0242619585861327","0.0206436112920669","0.0278803058801985","4"
"Very high transfer dependency","2015","35-65 y.","vocational + Abi","43","0.0199028256628119","0.0127703769809774","0.0270352743446465","4"
"Very high transfer dependency","2015","35-65 y.","higher vocational","9","","","","4"
"Very high transfer dependency","2015","66 and older","in school","","","","","4"
"Very high transfer dependency","2015","66 and older","middle vocational","8","","","","4"
"Very high transfer dependency","2015","66 and older","higher education","8","","","","4"
"Very high transfer dependency","2015","66 and older","inadequately","","","","","4"
"Very high transfer dependency","2015","66 and older","general elemantary","2","","","","4"
"Very high transfer dependency","2015","35-65 y.","in school","","","","","4"
"Very high transfer dependency","2015","35-65 y.","inadequately","31","0.0786678695370003","0.047998204103323","0.109337534970678","4"
"Very high transfer dependency","2015","16-34 y.","middle vocational","91","0.0262231335910237","0.0200760691327898","0.0323701980492577","4"
"Very high transfer dependency","2015","16-34 y.","vocational + Abi","13","","","","4"
"Very high transfer dependency","2015","16-34 y.","general elemantary","89","0.0484705370161736","0.0365027658361567","0.0604383081961906","4"
"Very high transfer dependency","2015","16-34 y.","higher vocational","","","","","4"
"Very high transfer dependency","2015","16-34 y.","higher education","24","","","","4"
"Very high transfer dependency","2015","16-34 y.","inadequately","24","","","","4"
"Very low transfer dependency","2015","66 and older","in school","","","","","1"
"Very low transfer dependency","2015","66 and older","inadequately","11","","","","1"
"Very low transfer dependency","2015","66 and older","general elemantary","81","0.11451558880198","0.0903312765458177","0.138699901058142","1"
"Very low transfer dependency","2015","66 and older","vocational + Abi","15","","","","1"
"Very low transfer dependency","2015","66 and older","higher vocational","36","0.104657874621719","0.0722626127036188","0.13705313653982","1"
"Very low transfer dependency","2015","66 and older","higher education","105","0.0743415418406103","0.0594433562790006","0.08923972740222","1"
"Very low transfer dependency","2015","66 and older","middle vocational","215","0.0729001774439251","0.0628039027007598","0.0829964521870904","1"
"Very low transfer dependency","2015","35-65 y.","higher vocational","635","0.465802461015703","0.435687686452954","0.495917235578453","1"
"Very low transfer dependency","2015","35-65 y.","in school","","","","","1"
"Very low transfer dependency","2015","35-65 y.","inadequately","89","0.285479250401678","0.234027881740941","0.336930619062415","1"
"Very low transfer dependency","2015","35-65 y.","middle vocational","3492","0.375639221238183","0.36425026369089","0.387028178785476","1"
"Very low transfer dependency","2015","35-65 y.","vocational + Abi","904","0.482952297110141","0.457433268303905","0.508471325916377","1"
"Very low transfer dependency","2015","16-34 y.","general elemantary","642","0.522916421269835","0.495082357652088","0.550750484887581","1"
"Very low transfer dependency","2015","16-34 y.","middle vocational","1406","0.465832570180776","0.446643701352585","0.485021439008968","1"
"Very low transfer dependency","2015","16-34 y.","higher education","375","0.244470477152586","0.21979167603387","0.269149278271302","1"
"Very low transfer dependency","2015","16-34 y.","inadequately","36","0.152913094948282","0.0992826546150155","0.206543535281548","1"
"Very low transfer dependency","2015","16-34 y.","vocational + Abi","244","0.379442944718109","0.338477487326428","0.42040840210979","1"
"Very low transfer dependency","2015","16-34 y.","in school","550","0.798949001706605","0.770454967519271","0.827443035893939","1"
"Very low transfer dependency","2015","16-34 y.","higher vocational","63","0.375064601188585","0.290192747867475","0.459936454509695","1"
"Very low transfer dependency","2015","35-65 y.","higher education","2503","0.472299529199922","0.456891876620556","0.487707181779288","1"
"Very low transfer dependency","2015","35-65 y.","general elemantary","458","0.306546299597394","0.279817358753942","0.333275240440847","1"
"Complete transfer dependency","2016","66 and older","in school","","","","","5"
"Complete transfer dependency","2016","66 and older","inadequately","","","","","5"
"Complete transfer dependency","2016","66 and older","general elemantary","2","","","","5"
"Complete transfer dependency","2016","66 and older","middle vocational","1","","","","5"
"Complete transfer dependency","2016","66 and older","vocational + Abi","","","","","5"
"Complete transfer dependency","2016","66 and older","higher vocational","1","","","","5"
"Complete transfer dependency","2016","66 and older","higher education","3","","","","5"
"Complete transfer dependency","2016","16-34 y.","in school","21","","","","5"
"Complete transfer dependency","2016","16-34 y.","inadequately","14","","","","5"
"Complete transfer dependency","2016","16-34 y.","general elemantary","55","0.0742991409698336","0.058599926300278","0.0899983556393892","5"
"Complete transfer dependency","2016","16-34 y.","middle vocational","40","0.0203993207810028","0.0144253887333409","0.0263732528286646","5"
"Complete transfer dependency","2016","16-34 y.","vocational + Abi","7","","","","5"
"Complete transfer dependency","2016","16-34 y.","higher vocational","","","","","5"
"Complete transfer dependency","2016","16-34 y.","higher education","8","","","","5"
"Complete transfer dependency","2016","35-65 y.","in school","","","","","5"
"Complete transfer dependency","2016","35-65 y.","inadequately","31","0.0946958576769782","0.0578063250682031","0.131585390285753","5"
"Complete transfer dependency","2016","35-65 y.","general elemantary","70","0.0565261468868262","0.0421842020546021","0.0708680917190503","5"
"Complete transfer dependency","2016","35-65 y.","middle vocational","131","0.0229500613947911","0.0192643653111906","0.0266357574783917","5"
"Complete transfer dependency","2016","35-65 y.","vocational + Abi","30","0.0224203711979789","0.0146764306893346","0.0301643117066233","5"
"Complete transfer dependency","2016","35-65 y.","higher vocational","3","","","","5"
"Complete transfer dependency","2016","35-65 y.","higher education","26","","","","5"
"High transfer dependency","2016","66 and older","general elemantary","13","","","","3"
"High transfer dependency","2016","66 and older","middle vocational","22","","","","3"
"High transfer dependency","2016","66 and older","vocational + Abi","2","","","","3"
"High transfer dependency","2016","66 and older","higher vocational","3","","","","3"
"High transfer dependency","2016","66 and older","higher education","","","","","3"
"High transfer dependency","2016","35-65 y.","in school","","","","","3"
"High transfer dependency","2016","35-65 y.","vocational + Abi","35","0.0176700089239549","0.0107785428374559","0.024561475010454","3"
"High transfer dependency","2016","35-65 y.","higher vocational","16","","","","3"
"High transfer dependency","2016","35-65 y.","higher education","44","0.0104198152019188","0.00716238889324549","0.0136772415105921","3"
"High transfer dependency","2016","35-65 y.","middle vocational","224","0.0255978880675153","0.0217106566999196","0.029485119435111","3"
"High transfer dependency","2016","66 and older","in school","","","","","3"
"High transfer dependency","2016","66 and older","inadequately","1","","","","3"
"High transfer dependency","2016","16-34 y.","inadequately","23","","","","3"
"High transfer dependency","2016","16-34 y.","in school","44","0.0504680977258381","0.0343090121632707","0.0666271832884056","3"
"High transfer dependency","2016","16-34 y.","general elemantary","110","0.0985339383284045","0.0806929746251836","0.116374902031625","3"
"High transfer dependency","2016","16-34 y.","middle vocational","101","0.0444279041777552","0.0357205235622688","0.0531352847932416","3"
"High transfer dependency","2016","16-34 y.","vocational + Abi","12","","","","3"
"High transfer dependency","2016","16-34 y.","higher vocational","1","","","","3"
"High transfer dependency","2016","16-34 y.","higher education","21","","","","3"
"High transfer dependency","2016","35-65 y.","inadequately","30","0.144511325637929","0.100211860498645","0.188810790777214","3"
"High transfer dependency","2016","35-65 y.","general elemantary","92","0.0588158953951008","0.0442041172275157","0.0734276735626859","3"
"Low transfer dependency","2016","16-34 y.","in school","68","0.0733027821553919","0.0540637734451864","0.0925417908655974","2"
"Low transfer dependency","2016","16-34 y.","inadequately","23","","","","2"
"Low transfer dependency","2016","35-65 y.","middle vocational","505","0.0557496180282189","0.0501024105098112","0.0613968255466266","2"
"Low transfer dependency","2016","35-65 y.","vocational + Abi","113","0.054174109219793","0.0423337187234275","0.0660144997161584","2"
"Low transfer dependency","2016","35-65 y.","general elemantary","142","0.104446967811811","0.0854531619628078","0.123440773660814","2"
"Low transfer dependency","2016","35-65 y.","higher vocational","39","0.0339799720717192","0.0225250808016095","0.0454348633418289","2"
