"plh0206i01","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence","value"
"7 Strongly agree","2017","higher education","Male","265","0.88391700955443","0.847176370609925","0.920657648498935","7"
"7 Strongly agree","2017","higher education","Female","139","0.892565519138367","0.844127077522059","0.941003960754676","7"
"1 Strongly disagree","2018","vocational + Abi","Female","","","","","1"
"1 Strongly disagree","2018","higher vocational","Male","","","","","1"
"1 Strongly disagree","2018","higher vocational","Female","","","","","1"
"1 Strongly disagree","2018","higher education","Male","","","","","1"
"1 Strongly disagree","2018","higher education","Female","","","","","1"
"1 Strongly disagree","2018","inadequately","Male","1","","","","1"
"1 Strongly disagree","2018","inadequately","Female","","","","","1"
"1 Strongly disagree","2018","general elemantary","Male","","","","","1"
"1 Strongly disagree","2018","general elemantary","Female","","","","","1"
"1 Strongly disagree","2018","in school","Male","","","","","1"
"1 Strongly disagree","2018","in school","Female","","","","","1"
"1 Strongly disagree","2018","middle vocational","Male","","","","","1"
"1 Strongly disagree","2018","middle vocational","Female","","","","","1"
"1 Strongly disagree","2018","vocational + Abi","Male","","","","","1"
"2 on scale 1-7 ","2018","higher vocational","Male","","","","","2"
"2 on scale 1-7 ","2018","higher vocational","Female","","","","","2"
"2 on scale 1-7 ","2018","higher education","Male","1","","","","2"
"2 on scale 1-7 ","2018","in school","Male","","","","","2"
"2 on scale 1-7 ","2018","in school","Female","","","","","2"
"2 on scale 1-7 ","2018","inadequately","Male","","","","","2"
"2 on scale 1-7 ","2018","inadequately","Female","","","","","2"
"2 on scale 1-7 ","2018","general elemantary","Male","","","","","2"
"2 on scale 1-7 ","2018","general elemantary","Female","","","","","2"
"2 on scale 1-7 ","2018","middle vocational","Male","","","","","2"
"2 on scale 1-7 ","2018","middle vocational","Female","","","","","2"
"2 on scale 1-7 ","2018","vocational + Abi","Male","","","","","2"
"2 on scale 1-7 ","2018","vocational + Abi","Female","","","","","2"
"2 on scale 1-7 ","2018","higher education","Female","","","","","2"
"3 on scale 1-7 ","2018","in school","Male","","","","","3"
"3 on scale 1-7 ","2018","in school","Female","","","","","3"
"3 on scale 1-7 ","2018","inadequately","Male","1","","","","3"
"3 on scale 1-7 ","2018","inadequately","Female","","","","","3"
"3 on scale 1-7 ","2018","general elemantary","Male","","","","","3"
"3 on scale 1-7 ","2018","general elemantary","Female","","","","","3"
"3 on scale 1-7 ","2018","middle vocational","Male","","","","","3"
"3 on scale 1-7 ","2018","middle vocational","Female","","","","","3"
"3 on scale 1-7 ","2018","vocational + Abi","Male","","","","","3"
"3 on scale 1-7 ","2018","vocational + Abi","Female","","","","","3"
"3 on scale 1-7 ","2018","higher vocational","Male","","","","","3"
"3 on scale 1-7 ","2018","higher vocational","Female","","","","","3"
"3 on scale 1-7 ","2018","higher education","Male","","","","","3"
"3 on scale 1-7 ","2018","higher education","Female","","","","","3"
"4 on scale 1-7","2018","inadequately","Male","","","","","4"
"4 on scale 1-7","2018","inadequately","Female","","","","","4"
"4 on scale 1-7","2018","vocational + Abi","Female","","","","","4"
"4 on scale 1-7","2018","higher vocational","Male","","","","","4"
"4 on scale 1-7","2018","higher vocational","Female","","","","","4"
"4 on scale 1-7","2018","general elemantary","Male","1","","","","4"
"4 on scale 1-7","2018","general elemantary","Female","","","","","4"
"4 on scale 1-7","2018","middle vocational","Male","","","","","4"
"4 on scale 1-7","2018","vocational + Abi","Male","","","","","4"
"4 on scale 1-7","2018","higher education","Male","","","","","4"
"4 on scale 1-7","2018","higher education","Female","","","","","4"
"4 on scale 1-7","2018","in school","Male","","","","","4"
"4 on scale 1-7","2018","in school","Female","","","","","4"
"4 on scale 1-7","2018","middle vocational","Female","","","","","4"
"5 on scale 1-7","2018","in school","Male","","","","","5"
"5 on scale 1-7","2018","in school","Female","1","","","","5"
"5 on scale 1-7","2018","inadequately","Male","1","","","","5"
"5 on scale 1-7","2018","inadequately","Female","3","","","","5"
"5 on scale 1-7","2018","general elemantary","Male","3","","","","5"
"5 on scale 1-7","2018","general elemantary","Female","2","","","","5"
"5 on scale 1-7","2018","middle vocational","Male","","","","","5"
"5 on scale 1-7","2018","middle vocational","Female","","","","","5"
"5 on scale 1-7","2018","vocational + Abi","Male","","","","","5"
"5 on scale 1-7","2018","vocational + Abi","Female","1","","","","5"
"5 on scale 1-7","2018","higher vocational","Male","","","","","5"
"5 on scale 1-7","2018","higher vocational","Female","","","","","5"
"5 on scale 1-7","2018","higher education","Male","","","","","5"
"5 on scale 1-7","2018","higher education","Female","2","","","","5"
"6 on scale 1-7","2018","vocational + Abi","Female","","","","","6"
"6 on scale 1-7","2018","higher vocational","Male","","","","","6"
"6 on scale 1-7","2018","higher vocational","Female","","","","","6"
"6 on scale 1-7","2018","higher education","Male","2","","","","6"
"6 on scale 1-7","2018","higher education","Female","1","","","","6"
"6 on scale 1-7","2018","general elemantary","Male","3","","","","6"
"6 on scale 1-7","2018","general elemantary","Female","6","","","","6"
"6 on scale 1-7","2018","middle vocational","Male","4","","","","6"
"6 on scale 1-7","2018","inadequately","Male","4","","","","6"
"6 on scale 1-7","2018","inadequately","Female","8","","","","6"
"6 on scale 1-7","2018","middle vocational","Female","4","","","","6"
"6 on scale 1-7","2018","vocational + Abi","Male","","","","","6"
"6 on scale 1-7","2018","in school","Female","","","","","6"
"6 on scale 1-7","2018","in school","Male","3","","","","6"
"7 Strongly agree","2018","in school","Male","4","","","","7"
"7 Strongly agree","2018","in school","Female","","","","","7"
"7 Strongly agree","2018","inadequately","Male","59","0.85600799000462","0.771307830241443","0.940708149767797","7"
"7 Strongly agree","2018","inadequately","Female","86","0.87707949703572","0.811737279727298","0.942421714344141","7"
"7 Strongly agree","2018","vocational + Abi","Male","4","","","","7"
"7 Strongly agree","2018","vocational + Abi","Female","2","","","","7"
"7 Strongly agree","2018","higher vocational","Male","","","","","7"
"7 Strongly agree","2018","higher vocational","Female","","","","","7"
"7 Strongly agree","2018","higher education","Male","14","","","","7"
"7 Strongly agree","2018","higher education","Female","29","","","","7"
"7 Strongly agree","2018","general elemantary","Male","39","0.884742483809922","0.792461493979467","0.977023473640376","7"
"7 Strongly agree","2018","general elemantary","Female","45","0.890020492134577","0.805790638647987","0.974250345621168","7"
"7 Strongly agree","2018","middle vocational","Male","28","","","","7"
"7 Strongly agree","2018","middle vocational","Female","22","","","","7"
"1 Strongly disagree","2019","vocational + Abi","Female","","","","","1"
"1 Strongly disagree","2019","higher vocational","Male","","","","","1"
"1 Strongly disagree","2019","higher vocational","Female","","","","","1"
"1 Strongly disagree","2019","higher education","Male","","","","","1"
"1 Strongly disagree","2019","higher education","Female","","","","","1"
"1 Strongly disagree","2019","general elemantary","Male","","","","","1"
"1 Strongly disagree","2019","general elemantary","Female","","","","","1"
"1 Strongly disagree","2019","middle vocational","Male","","","","","1"
"1 Strongly disagree","2019","middle vocational","Female","","","","","1"
"1 Strongly disagree","2019","vocational + Abi","Male","","","","","1"
"1 Strongly disagree","2019","inadequately","Male","","","","","1"
"1 Strongly disagree","2019","in school","Female","","","","","1"
"1 Strongly disagree","2019","in school","Male","","","","","1"
"1 Strongly disagree","2019","inadequately","Female","1","","","","1"
"2 on scale 1-7 ","2019","inadequately","Male","","","","","2"
"2 on scale 1-7 ","2019","inadequately","Female","1","","","","2"
"2 on scale 1-7 ","2019","general elemantary","Male","","","","","2"
"2 on scale 1-7 ","2019","general elemantary","Female","","","","","2"
"2 on scale 1-7 ","2019","middle vocational","Male","","","","","2"
"2 on scale 1-7 ","2019","middle vocational","Female","","","","","2"
"2 on scale 1-7 ","2019","vocational + Abi","Male","","","","","2"
"2 on scale 1-7 ","2019","vocational + Abi","Female","","","","","2"
"2 on scale 1-7 ","2019","higher vocational","Male","","","","","2"
"2 on scale 1-7 ","2019","higher vocational","Female","","","","","2"
"2 on scale 1-7 ","2019","higher education","Male","","","","","2"
"2 on scale 1-7 ","2019","higher education","Female","","","","","2"
"2 on scale 1-7 ","2019","in school","Male","","","","","2"
"2 on scale 1-7 ","2019","in school","Female","","","","","2"
"3 on scale 1-7 ","2019","general elemantary","Male","","","","","3"
"3 on scale 1-7 ","2019","general elemantary","Female","","","","","3"
"3 on scale 1-7 ","2019","middle vocational","Male","","","","","3"
"3 on scale 1-7 ","2019","middle vocational","Female","","","","","3"
"3 on scale 1-7 ","2019","vocational + Abi","Male","","","","","3"
"3 on scale 1-7 ","2019","vocational + Abi","Female","","","","","3"
"3 on scale 1-7 ","2019","higher vocational","Male","","","","","3"
"3 on scale 1-7 ","2019","higher vocational","Female","","","","","3"
"3 on scale 1-7 ","2019","higher education","Male","","","","","3"
"3 on scale 1-7 ","2019","higher education","Female","","","","","3"
"3 on scale 1-7 ","2019","in school","Male","","","","","3"
"3 on scale 1-7 ","2019","in school","Female","","","","","3"
"3 on scale 1-7 ","2019","inadequately","Male","","","","","3"
"3 on scale 1-7 ","2019","inadequately","Female","","","","","3"
"4 on scale 1-7","2019","vocational + Abi","Female","","","","","4"
"4 on scale 1-7","2019","higher vocational","Male","","","","","4"
"4 on scale 1-7","2019","higher vocational","Female","","","","","4"
"4 on scale 1-7","2019","in school","Female","","","","","4"
"4 on scale 1-7","2019","inadequately","Male","4","","","","4"
"4 on scale 1-7","2019","inadequately","Female","","","","","4"
"4 on scale 1-7","2019","general elemantary","Male","","","","","4"
"4 on scale 1-7","2019","higher education","Male","","","","","4"
"4 on scale 1-7","2019","higher education","Female","","","","","4"
"4 on scale 1-7","2019","general elemantary","Female","1","","","","4"
"4 on scale 1-7","2019","middle vocational","Male","","","","","4"
"4 on scale 1-7","2019","in school","Male","","","","","4"
"4 on scale 1-7","2019","vocational + Abi","Male","","","","","4"
"4 on scale 1-7","2019","middle vocational","Female","","","","","4"
"5 on scale 1-7","2019","in school","Male","","","","","5"
"5 on scale 1-7","2019","in school","Female","","","","","5"
"5 on scale 1-7","2019","inadequately","Male","2","","","","5"
"5 on scale 1-7","2019","inadequately","Female","6","","","","5"
"5 on scale 1-7","2019","general elemantary","Male","1","","","","5"
"5 on scale 1-7","2019","general elemantary","Female","1","","","","5"
"5 on scale 1-7","2019","middle vocational","Male","","","","","5"
"5 on scale 1-7","2019","higher vocational","Male","","","","","5"
"5 on scale 1-7","2019","higher vocational","Female","","","","","5"
"5 on scale 1-7","2019","higher education","Male","","","","","5"
"5 on scale 1-7","2019","higher education","Female","1","","","","5"
"5 on scale 1-7","2019","middle vocational","Female","","","","","5"
"5 on scale 1-7","2019","vocational + Abi","Male","","","","","5"
"5 on scale 1-7","2019","vocational + Abi","Female","","","","","5"
"6 on scale 1-7","2019","general elemantary","Male","1","","","","6"
"6 on scale 1-7","2019","vocational + Abi","Female","","","","","6"
"6 on scale 1-7","2019","higher vocational","Male","","","","","6"
"6 on scale 1-7","2019","higher vocational","Female","","","","","6"
"6 on scale 1-7","2019","higher education","Male","3","","","","6"
"6 on scale 1-7","2019","higher education","Female","2","","","","6"
"6 on scale 1-7","2019","in school","Male","","","","","6"
"6 on scale 1-7","2019","in school","Female","","","","","6"
"6 on scale 1-7","2019","inadequately","Male","7","","","","6"
"6 on scale 1-7","2019","inadequately","Female","9","","","","6"
"6 on scale 1-7","2019","general elemantary","Female","4","","","","6"
"6 on scale 1-7","2019","middle vocational","Male","","","","","6"
"6 on scale 1-7","2019","middle vocational","Female","3","","","","6"
"6 on scale 1-7","2019","vocational + Abi","Male","","","","","6"
"7 Strongly agree","2019","in school","Male","1","","","","7"
"7 Strongly agree","2019","in school","Female","1","","","","7"
"7 Strongly agree","2019","inadequately","Male","49","0.789371662839502","0.687875082102081","0.890868243576924","7"
"7 Strongly agree","2019","inadequately","Female","53","0.749549444960417","0.64805080715252","0.851048082768315","7"
"7 Strongly agree","2019","general elemantary","Male","24","","","","7"
"7 Strongly agree","2019","general elemantary","Female","21","","","","7"
"7 Strongly agree","2019","middle vocational","Male","15","","","","7"
"7 Strongly agree","2019","middle vocational","Female","15","","","","7"
"7 Strongly agree","2019","vocational + Abi","Male","2","","","","7"
"7 Strongly agree","2019","vocational + Abi","Female","","","","","7"
"7 Strongly agree","2019","higher vocational","Male","","","","","7"
"7 Strongly agree","2019","higher vocational","Female","","","","","7"
"7 Strongly agree","2019","higher education","Male","10","","","","7"
"7 Strongly agree","2019","higher education","Female","11","","","","7"
