"pli0089","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence"
"Never","2013","indirect migration background","higher vocational","18","","",""
"Never","2013","indirect migration background","higher education","90","0.451970875889495","0.380254345306046","0.523687406472943"
"Daily","2014","no migration background","in school","","","",""
"Daily","2014","no migration background","inadequately","","","",""
"Daily","2014","no migration background","general elemantary","","","",""
"Daily","2014","no migration background","middle vocational","","","",""
"Daily","2014","no migration background","vocational + Abi","","","",""
"Daily","2014","no migration background","higher vocational","","","",""
"Daily","2014","no migration background","higher education","","","",""
"Daily","2014","direct migration background","in school","","","",""
"Daily","2014","direct migration background","inadequately","","","",""
"Daily","2014","direct migration background","general elemantary","","","",""
"Daily","2014","direct migration background","middle vocational","","","",""
"Daily","2014","direct migration background","vocational + Abi","","","",""
"Daily","2014","direct migration background","higher vocational","","","",""
"Daily","2014","direct migration background","higher education","","","",""
"Daily","2014","indirect migration background","in school","","","",""
"Daily","2014","indirect migration background","inadequately","","","",""
"Daily","2014","indirect migration background","general elemantary","","","",""
"Daily","2014","indirect migration background","middle vocational","","","",""
"Daily","2014","indirect migration background","vocational + Abi","","","",""
"Daily","2014","indirect migration background","higher vocational","","","",""
"Daily","2014","indirect migration background","higher education","","","",""
"Min 1x per week","2014","no migration background","in school","","","",""
"Min 1x per week","2014","no migration background","inadequately","","","",""
"Min 1x per week","2014","no migration background","general elemantary","","","",""
"Min 1x per week","2014","no migration background","middle vocational","","","",""
"Min 1x per week","2014","no migration background","vocational + Abi","","","",""
"Min 1x per week","2014","no migration background","higher vocational","","","",""
"Min 1x per week","2014","no migration background","higher education","","","",""
"Min 1x per week","2014","direct migration background","in school","","","",""
"Min 1x per week","2014","direct migration background","inadequately","","","",""
"Min 1x per week","2014","direct migration background","general elemantary","","","",""
"Min 1x per week","2014","direct migration background","middle vocational","","","",""
"Min 1x per week","2014","direct migration background","vocational + Abi","","","",""
"Min 1x per week","2014","direct migration background","higher vocational","","","",""
"Min 1x per week","2014","direct migration background","higher education","","","",""
"Min 1x per week","2014","indirect migration background","in school","","","",""
"Min 1x per week","2014","indirect migration background","inadequately","","","",""
"Min 1x per week","2014","indirect migration background","general elemantary","","","",""
"Min 1x per week","2014","indirect migration background","middle vocational","","","",""
"Min 1x per week","2014","indirect migration background","vocational + Abi","","","",""
"Min 1x per week","2014","indirect migration background","higher vocational","","","",""
"Min 1x per week","2014","indirect migration background","higher education","","","",""
"Min 1x per month","2014","no migration background","in school","","","",""
"Min 1x per month","2014","no migration background","inadequately","","","",""
"Min 1x per month","2014","no migration background","general elemantary","","","",""
"Min 1x per month","2014","no migration background","middle vocational","","","",""
"Min 1x per month","2014","no migration background","vocational + Abi","","","",""
"Min 1x per month","2014","no migration background","higher vocational","","","",""
"Min 1x per month","2014","no migration background","higher education","","","",""
"Min 1x per month","2014","direct migration background","in school","","","",""
"Min 1x per month","2014","direct migration background","inadequately","","","",""
"Min 1x per month","2014","direct migration background","general elemantary","","","",""
"Min 1x per month","2014","direct migration background","middle vocational","","","",""
"Min 1x per month","2014","direct migration background","vocational + Abi","","","",""
"Min 1x per month","2014","direct migration background","higher vocational","","","",""
"Min 1x per month","2014","direct migration background","higher education","","","",""
"Min 1x per month","2014","indirect migration background","in school","","","",""
"Min 1x per month","2014","indirect migration background","inadequately","","","",""
"Min 1x per month","2014","indirect migration background","general elemantary","","","",""
"Min 1x per month","2014","indirect migration background","middle vocational","","","",""
"Min 1x per month","2014","indirect migration background","vocational + Abi","","","",""
"Min 1x per month","2014","indirect migration background","higher vocational","","","",""
"Min 1x per month","2014","indirect migration background","higher education","","","",""
"Rarely","2014","no migration background","in school","","","",""
"Rarely","2014","no migration background","inadequately","","","",""
"Rarely","2014","no migration background","general elemantary","","","",""
"Rarely","2014","no migration background","middle vocational","","","",""
"Rarely","2014","no migration background","vocational + Abi","","","",""
"Rarely","2014","no migration background","higher vocational","","","",""
"Rarely","2014","no migration background","higher education","","","",""
"Rarely","2014","direct migration background","in school","","","",""
"Rarely","2014","direct migration background","inadequately","","","",""
"Rarely","2014","direct migration background","general elemantary","","","",""
"Rarely","2014","direct migration background","middle vocational","","","",""
"Rarely","2014","direct migration background","vocational + Abi","","","",""
"Rarely","2014","direct migration background","higher vocational","","","",""
"Rarely","2014","direct migration background","higher education","","","",""
"Rarely","2014","indirect migration background","in school","","","",""
"Rarely","2014","indirect migration background","inadequately","","","",""
"Rarely","2014","indirect migration background","general elemantary","","","",""
"Rarely","2014","indirect migration background","middle vocational","","","",""
"Rarely","2014","indirect migration background","vocational + Abi","","","",""
"Rarely","2014","indirect migration background","higher vocational","","","",""
"Rarely","2014","indirect migration background","higher education","","","",""
"Never","2014","no migration background","in school","","","",""
"Never","2014","no migration background","inadequately","","","",""
"Never","2014","no migration background","general elemantary","","","",""
"Never","2014","no migration background","middle vocational","","","",""
"Never","2014","no migration background","vocational + Abi","","","",""
"Never","2014","no migration background","higher vocational","","","",""
"Never","2014","no migration background","higher education","","","",""
"Never","2014","direct migration background","in school","","","",""
"Never","2014","direct migration background","inadequately","","","",""
"Never","2014","direct migration background","general elemantary","","","",""
"Never","2014","direct migration background","middle vocational","","","",""
"Never","2014","direct migration background","vocational + Abi","","","",""
"Never","2014","direct migration background","higher vocational","","","",""
"Never","2014","direct migration background","higher education","","","",""
"Never","2014","indirect migration background","in school","","","",""
"Never","2014","indirect migration background","inadequately","","","",""
"Never","2014","indirect migration background","general elemantary","","","",""
"Never","2014","indirect migration background","middle vocational","","","",""
"Never","2014","indirect migration background","vocational + Abi","","","",""
"Never","2014","indirect migration background","higher vocational","","","",""
"Never","2014","indirect migration background","higher education","","","",""
"Daily","2015","no migration background","in school","","","",""
"Daily","2015","no migration background","inadequately","","","",""
"Daily","2015","no migration background","general elemantary","","","",""
"Daily","2015","no migration background","middle vocational","","","",""
"Daily","2015","no migration background","vocational + Abi","","","",""
"Daily","2015","no migration background","higher vocational","","","",""
"Daily","2015","no migration background","higher education","","","",""
"Daily","2015","direct migration background","in school","","","",""
"Daily","2015","direct migration background","inadequately","","","",""
"Daily","2015","direct migration background","general elemantary","","","",""
"Daily","2015","direct migration background","middle vocational","","","",""
"Daily","2015","direct migration background","vocational + Abi","","","",""
"Daily","2015","direct migration background","higher vocational","","","",""
"Daily","2015","direct migration background","higher education","","","",""
"Daily","2015","indirect migration background","in school","","","",""
"Daily","2015","indirect migration background","inadequately","","","",""
"Daily","2015","indirect migration background","general elemantary","","","",""
"Daily","2015","indirect migration background","middle vocational","","","",""
"Daily","2015","indirect migration background","vocational + Abi","","","",""
"Daily","2015","indirect migration background","higher vocational","","","",""
"Daily","2015","indirect migration background","higher education","","","",""
"Min 1x per week","2015","no migration background","in school","","","",""
"Min 1x per week","2015","no migration background","inadequately","","","",""
"Min 1x per week","2015","no migration background","general elemantary","","","",""
"Min 1x per week","2015","no migration background","middle vocational","","","",""
"Min 1x per week","2015","no migration background","vocational + Abi","","","",""
"Min 1x per week","2015","no migration background","higher vocational","","","",""
"Min 1x per week","2015","no migration background","higher education","","","",""
"Min 1x per week","2015","direct migration background","in school","","","",""
"Min 1x per week","2015","direct migration background","inadequately","","","",""
"Min 1x per week","2015","direct migration background","general elemantary","","","",""
"Min 1x per week","2015","direct migration background","middle vocational","","","",""
"Min 1x per week","2015","direct migration background","vocational + Abi","","","",""
"Min 1x per week","2015","direct migration background","higher vocational","","","",""
"Min 1x per week","2015","direct migration background","higher education","","","",""
"Min 1x per week","2015","indirect migration background","in school","","","",""
"Min 1x per week","2015","indirect migration background","inadequately","","","",""
"Min 1x per week","2015","indirect migration background","general elemantary","","","",""
"Min 1x per week","2015","indirect migration background","middle vocational","","","",""
"Min 1x per week","2015","indirect migration background","vocational + Abi","","","",""
"Min 1x per week","2015","indirect migration background","higher vocational","","","",""
"Min 1x per week","2015","indirect migration background","higher education","","","",""
"Min 1x per month","2015","no migration background","in school","","","",""
"Min 1x per month","2015","no migration background","inadequately","","","",""
"Min 1x per month","2015","no migration background","general elemantary","","","",""
"Min 1x per month","2015","no migration background","middle vocational","","","",""
"Min 1x per month","2015","no migration background","vocational + Abi","","","",""
"Min 1x per month","2015","no migration background","higher vocational","","","",""
"Min 1x per month","2015","no migration background","higher education","","","",""
"Min 1x per month","2015","direct migration background","in school","","","",""
"Min 1x per month","2015","direct migration background","inadequately","","","",""
"Min 1x per month","2015","direct migration background","general elemantary","","","",""
"Min 1x per month","2015","direct migration background","middle vocational","","","",""
"Min 1x per month","2015","direct migration background","vocational + Abi","","","",""
"Min 1x per month","2015","direct migration background","higher vocational","","","",""
"Min 1x per month","2015","direct migration background","higher education","","","",""
"Min 1x per month","2015","indirect migration background","in school","","","",""
"Min 1x per month","2015","indirect migration background","inadequately","","","",""
"Min 1x per month","2015","indirect migration background","general elemantary","","","",""
"Min 1x per month","2015","indirect migration background","middle vocational","","","",""
"Min 1x per month","2015","indirect migration background","vocational + Abi","","","",""
"Min 1x per month","2015","indirect migration background","higher vocational","","","",""
"Min 1x per month","2015","indirect migration background","higher education","","","",""
"Rarely","2015","no migration background","in school","","","",""
"Rarely","2015","no migration background","inadequately","","","",""
"Rarely","2015","no migration background","general elemantary","","","",""
"Rarely","2015","no migration background","middle vocational","","","",""
"Rarely","2015","no migration background","vocational + Abi","","","",""
"Rarely","2015","no migration background","higher vocational","","","",""
"Rarely","2015","no migration background","higher education","","","",""
"Rarely","2015","direct migration background","in school","","","",""
"Rarely","2015","direct migration background","inadequately","","","",""
"Rarely","2015","direct migration background","general elemantary","","","",""
"Rarely","2015","direct migration background","middle vocational","","","",""
"Rarely","2015","direct migration background","vocational + Abi","","","",""
"Rarely","2015","direct migration background","higher vocational","","","",""
"Rarely","2015","direct migration background","higher education","","","",""
"Rarely","2015","indirect migration background","in school","","","",""
"Rarely","2015","indirect migration background","inadequately","","","",""
"Rarely","2015","indirect migration background","general elemantary","","","",""
"Rarely","2015","indirect migration background","middle vocational","","","",""
"Rarely","2015","indirect migration background","vocational + Abi","","","",""
"Rarely","2015","indirect migration background","higher vocational","","","",""
"Rarely","2015","indirect migration background","higher education","","","",""
"Never","2015","no migration background","in school","","","",""
"Never","2015","no migration background","inadequately","","","",""
"Never","2015","no migration background","general elemantary","","","",""
"Never","2015","no migration background","middle vocational","","","",""
"Never","2015","no migration background","vocational + Abi","","","",""
"Never","2015","no migration background","higher vocational","","","",""
"Never","2015","no migration background","higher education","","","",""
"Never","2015","direct migration background","in school","","","",""
"Never","2015","direct migration background","inadequately","","","",""
"Never","2015","direct migration background","general elemantary","","","",""
"Never","2015","direct migration background","middle vocational","","","",""
"Never","2015","direct migration background","vocational + Abi","","","",""
"Never","2015","direct migration background","higher vocational","","","",""
"Never","2015","direct migration background","higher education","","","",""
"Never","2015","indirect migration background","in school","","","",""
"Never","2015","indirect migration background","inadequately","","","",""
"Never","2015","indirect migration background","general elemantary","","","",""
"Never","2015","indirect migration background","middle vocational","","","",""
"Never","2015","indirect migration background","vocational + Abi","","","",""
"Never","2015","indirect migration background","higher vocational","","","",""
"Never","2015","indirect migration background","higher education","","","",""
"Daily","2016","no migration background","in school","","","",""
"Daily","2016","no migration background","inadequately","","","",""
"Daily","2016","no migration background","general elemantary","","","",""
"Daily","2016","no migration background","middle vocational","","","",""
"Daily","2016","no migration background","vocational + Abi","","","",""
"Daily","2016","no migration background","higher vocational","","","",""
"Daily","2016","no migration background","higher education","","","",""
"Daily","2016","direct migration background","in school","","","",""
"Daily","2016","direct migration background","inadequately","","","",""
"Daily","2016","direct migration background","general elemantary","","","",""
"Daily","2016","direct migration background","middle vocational","","","",""
"Daily","2016","direct migration background","vocational + Abi","","","",""
"Daily","2016","direct migration background","higher vocational","","","",""
"Daily","2016","direct migration background","higher education","","","",""
"Daily","2016","indirect migration background","in school","","","",""
"Daily","2016","indirect migration background","inadequately","","","",""
"Daily","2016","indirect migration background","general elemantary","","","",""
"Daily","2016","indirect migration background","middle vocational","","","",""
"Daily","2016","indirect migration background","vocational + Abi","","","",""
"Daily","2016","indirect migration background","higher vocational","","","",""
"Daily","2016","indirect migration background","higher education","","","",""
"Min 1x per week","2016","no migration background","in school","","","",""
"Min 1x per week","2016","no migration background","inadequately","","","",""
"Min 1x per week","2016","no migration background","general elemantary","","","",""
"Min 1x per week","2016","no migration background","middle vocational","","","",""
"Min 1x per week","2016","no migration background","vocational + Abi","","","",""
"Min 1x per week","2016","no migration background","higher vocational","","","",""
"Min 1x per week","2016","no migration background","higher education","","","",""
"Min 1x per week","2016","direct migration background","in school","","","",""
"Min 1x per week","2016","direct migration background","inadequately","","","",""
"Min 1x per week","2016","direct migration background","general elemantary","","","",""
"Min 1x per week","2016","direct migration background","middle vocational","","","",""
"Min 1x per week","2016","direct migration background","vocational + Abi","","","",""
"Min 1x per week","2016","direct migration background","higher vocational","","","",""
"Min 1x per week","2016","direct migration background","higher education","","","",""
"Min 1x per week","2016","indirect migration background","in school","","","",""
"Min 1x per week","2016","indirect migration background","inadequately","","","",""
"Min 1x per week","2016","indirect migration background","general elemantary","","","",""
"Min 1x per week","2016","indirect migration background","middle vocational","","","",""
"Min 1x per week","2016","indirect migration background","vocational + Abi","","","",""
"Min 1x per week","2016","indirect migration background","higher vocational","","","",""
"Min 1x per week","2016","indirect migration background","higher education","","","",""
"Min 1x per month","2016","no migration background","in school","","","",""
"Min 1x per month","2016","no migration background","inadequately","","","",""
"Min 1x per month","2016","no migration background","general elemantary","","","",""
"Min 1x per month","2016","no migration background","middle vocational","","","",""
"Min 1x per month","2016","no migration background","vocational + Abi","","","",""
"Min 1x per month","2016","no migration background","higher vocational","","","",""
"Min 1x per month","2016","no migration background","higher education","","","",""
"Min 1x per month","2016","direct migration background","in school","","","",""
"Min 1x per month","2016","direct migration background","inadequately","","","",""
"Min 1x per month","2016","direct migration background","general elemantary","","","",""
"Min 1x per month","2016","direct migration background","middle vocational","","","",""
"Min 1x per month","2016","direct migration background","vocational + Abi","","","",""
"Min 1x per month","2016","direct migration background","higher vocational","","","",""
"Min 1x per month","2016","direct migration background","higher education","","","",""
"Min 1x per month","2016","indirect migration background","in school","","","",""
"Min 1x per month","2016","indirect migration background","inadequately","","","",""
"Min 1x per month","2016","indirect migration background","general elemantary","","","",""
"Min 1x per month","2016","indirect migration background","middle vocational","","","",""
"Min 1x per month","2016","indirect migration background","vocational + Abi","","","",""
"Min 1x per month","2016","indirect migration background","higher vocational","","","",""
"Min 1x per month","2016","indirect migration background","higher education","","","",""
"Rarely","2016","no migration background","in school","","","",""
"Rarely","2016","no migration background","inadequately","","","",""
"Rarely","2016","no migration background","general elemantary","","","",""
"Rarely","2016","no migration background","middle vocational","","","",""
"Rarely","2016","no migration background","vocational + Abi","","","",""
"Rarely","2016","no migration background","higher vocational","","","",""
"Rarely","2016","no migration background","higher education","","","",""
"Rarely","2016","direct migration background","in school","","","",""
"Rarely","2016","direct migration background","inadequately","","","",""
"Rarely","2016","direct migration background","general elemantary","","","",""
"Rarely","2016","direct migration background","middle vocational","","","",""
"Rarely","2016","direct migration background","vocational + Abi","","","",""
"Rarely","2016","direct migration background","higher vocational","","","",""
"Rarely","2016","direct migration background","higher education","","","",""
"Rarely","2016","indirect migration background","in school","","","",""
"Rarely","2016","indirect migration background","inadequately","","","",""
"Rarely","2016","indirect migration background","general elemantary","","","",""
"Rarely","2016","indirect migration background","middle vocational","","","",""
"Rarely","2016","indirect migration background","vocational + Abi","","","",""
"Rarely","2016","indirect migration background","higher vocational","","","",""
"Rarely","2016","indirect migration background","higher education","","","",""
"Never","2016","no migration background","in school","","","",""
"Never","2016","no migration background","inadequately","","","",""
"Never","2016","no migration background","general elemantary","","","",""
"Never","2016","no migration background","middle vocational","","","",""
"Never","2016","no migration background","vocational + Abi","","","",""
"Never","2016","no migration background","higher vocational","","","",""
"Never","2016","no migration background","higher education","","","",""
"Never","2016","direct migration background","in school","","","",""
"Never","2016","direct migration background","inadequately","","","",""
"Never","2016","direct migration background","general elemantary","","","",""
"Never","2016","direct migration background","middle vocational","","","",""
"Never","2016","direct migration background","vocational + Abi","","","",""
"Never","2016","direct migration background","higher vocational","","","",""
"Never","2016","direct migration background","higher education","","","",""
"Never","2016","indirect migration background","in school","","","",""
"Never","2016","indirect migration background","inadequately","","","",""
"Never","2016","indirect migration background","general elemantary","","","",""
"Never","2016","indirect migration background","middle vocational","","","",""
"Never","2016","indirect migration background","vocational + Abi","","","",""
"Never","2016","indirect migration background","higher vocational","","","",""
"Never","2016","indirect migration background","higher education","","","",""
"Daily","2017","no migration background","in school","","","",""
"Daily","2017","no migration background","inadequately","","","",""
"Daily","2017","no migration background","general elemantary","","","",""
"Daily","2017","no migration background","middle vocational","","","",""
"Daily","2017","no migration background","vocational + Abi","","","",""
"Daily","2017","no migration background","higher vocational","","","",""
"Daily","2017","no migration background","higher education","","","",""
"Daily","2017","direct migration background","in school","1","","",""
"Daily","2017","direct migration background","inadequately","15","","",""
"Daily","2017","direct migration background","general elemantary","13","","",""
"Daily","2017","direct migration background","middle vocational","11","","",""
"Daily","2017","direct migration background","vocational + Abi","1","","",""
"Daily","2017","direct migration background","higher vocational","","","",""
"Daily","2017","direct migration background","higher education","9","","",""
"Daily","2017","indirect migration background","in school","","","",""
"Daily","2017","indirect migration background","inadequately","","","",""
"Daily","2017","indirect migration background","general elemantary","","","",""
"Daily","2017","indirect migration background","middle vocational","","","",""
"Daily","2017","indirect migration background","vocational + Abi","","","",""
"Daily","2017","indirect migration background","higher vocational","","","",""
"Daily","2017","indirect migration background","higher education","","","",""
"Min 1x per week","2017","no migration background","in school","","","",""
"Min 1x per week","2017","no migration background","inadequately","","","",""
"Min 1x per week","2017","no migration background","general elemantary","","","",""
"Min 1x per week","2017","no migration background","middle vocational","","","",""
"Min 1x per week","2017","no migration background","vocational + Abi","","","",""
"Min 1x per week","2017","no migration background","higher vocational","","","",""
"Min 1x per week","2017","no migration background","higher education","","","",""
"Min 1x per week","2017","direct migration background","in school","3","","",""
"Min 1x per week","2017","direct migration background","inadequately","115","0.0665238611007277","0.0559953419320695","0.0770523802693858"
"Min 1x per week","2017","direct migration background","general elemantary","69","0.0778524856980224","0.0619241734527399","0.0937807979433049"
"Min 1x per week","2017","direct migration background","middle vocational","56","0.0733583099597629","0.056219613507109","0.0904970064124167"
"Min 1x per week","2017","direct migration background","vocational + Abi","6","","",""
"Min 1x per week","2017","direct migration background","higher vocational","","","",""
"Min 1x per week","2017","direct migration background","higher education","53","0.0449846052831824","0.0316562249438892","0.0583129856224755"
"Min 1x per week","2017","indirect migration background","in school","","","",""
"Min 1x per week","2017","indirect migration background","inadequately","","","",""
"Min 1x per week","2017","indirect migration background","general elemantary","","","",""
"Min 1x per week","2017","indirect migration background","middle vocational","","","",""
"Min 1x per week","2017","indirect migration background","vocational + Abi","","","",""
"Min 1x per week","2017","indirect migration background","higher vocational","","","",""
"Min 1x per week","2017","indirect migration background","higher education","","","",""
"Min 1x per month","2017","no migration background","in school","","","",""
"Min 1x per month","2017","no migration background","inadequately","","","",""
"Min 1x per month","2017","no migration background","general elemantary","","","",""
"Min 1x per month","2017","no migration background","middle vocational","","","",""
"Min 1x per month","2017","no migration background","vocational + Abi","","","",""
"Min 1x per month","2017","no migration background","higher vocational","","","",""
"Min 1x per month","2017","no migration background","higher education","","","",""
"Min 1x per month","2017","direct migration background","in school","1","","",""
"Min 1x per month","2017","direct migration background","inadequately","97","0.0613418651179164","0.0512037044392008","0.0714800257966321"
"Min 1x per month","2017","direct migration background","general elemantary","73","0.0775178347080087","0.061620909725303","0.0934147596907144"
"Min 1x per month","2017","direct migration background","middle vocational","55","0.0529576840895565","0.0382363762244648","0.0676789919546482"
"Min 1x per month","2017","direct migration background","vocational + Abi","6","","",""
"Min 1x per month","2017","direct migration background","higher vocational","","","",""
"Min 1x per month","2017","direct migration background","higher education","58","0.0771945160147218","0.0600317002033366","0.094357331826107"
"Min 1x per month","2017","indirect migration background","in school","","","",""
"Min 1x per month","2017","indirect migration background","inadequately","","","",""
"Min 1x per month","2017","indirect migration background","general elemantary","","","",""
"Min 1x per month","2017","indirect migration background","middle vocational","","","",""
"Min 1x per month","2017","indirect migration background","vocational + Abi","","","",""
"Min 1x per month","2017","indirect migration background","higher vocational","","","",""
"Min 1x per month","2017","indirect migration background","higher education","","","",""
"Rarely","2017","no migration background","in school","","","",""
"Rarely","2017","no migration background","inadequately","","","",""
"Rarely","2017","no migration background","general elemantary","","","",""
"Rarely","2017","no migration background","middle vocational","","","",""
"Rarely","2017","no migration background","vocational + Abi","","","",""
"Rarely","2017","no migration background","higher vocational","","","",""
"Rarely","2017","no migration background","higher education","","","",""
"Rarely","2017","direct migration background","in school","4","","",""
"Rarely","2017","direct migration background","inadequately","248","0.130194048263334","0.115976205381049","0.144411891145618"
"Rarely","2017","direct migration background","general elemantary","180","0.171643627085366","0.14922774829886","0.194059505871873"
"Rarely","2017","direct migration background","middle vocational","147","0.192657795894001","0.166732762036787","0.218582829751215"
"Rarely","2017","direct migration background","vocational + Abi","27","","",""
"Rarely","2017","direct migration background","higher vocational","","","",""
"Rarely","2017","direct migration background","higher education","185","0.213010054987092","0.186681630093506","0.239338479880678"
"Rarely","2017","indirect migration background","in school","","","",""
"Rarely","2017","indirect migration background","inadequately","","","",""
"Rarely","2017","indirect migration background","general elemantary","","","",""
"Rarely","2017","indirect migration background","middle vocational","","","",""
"Rarely","2017","indirect migration background","vocational + Abi","","","",""
"Rarely","2017","indirect migration background","higher vocational","","","",""
"Rarely","2017","indirect migration background","higher education","","","",""
"Never","2017","no migration background","in school","","","",""
"Never","2017","no migration background","inadequately","","","",""
"Never","2017","no migration background","general elemantary","","","",""
"Never","2017","no migration background","middle vocational","","","",""
"Never","2017","no migration background","vocational + Abi","","","",""
"Never","2017","no migration background","higher vocational","","","",""
"Never","2017","no migration background","higher education","","","",""
"Never","2017","direct migration background","in school","13","","",""
"Never","2017","direct migration background","inadequately","1677","0.735320866482702","0.71668175290258","0.753959980062825"
"Never","2017","direct migration background","general elemantary","752","0.658497611767486","0.630306818700434","0.686688404834538"
"Never","2017","direct migration background","middle vocational","620","0.670210257626922","0.639305786383406","0.701114728870438"
"Never","2017","direct migration background","vocational + Abi","94","0.666569116794294","0.586747375543418","0.746390858045171"
"Never","2017","direct migration background","higher vocational","","","",""
"Never","2017","direct migration background","higher education","624","0.652233432006907","0.621607756494543","0.682859107519272"
"Never","2017","indirect migration background","in school","","","",""
"Never","2017","indirect migration background","inadequately","","","",""
"Never","2017","indirect migration background","general elemantary","","","",""
"Never","2017","indirect migration background","middle vocational","","","",""
"Never","2017","indirect migration background","vocational + Abi","","","",""
"Never","2017","indirect migration background","higher vocational","","","",""
"Never","2017","indirect migration background","higher education","","","",""
"Daily","2018","no migration background","in school","","","",""
"Daily","2018","no migration background","inadequately","","","",""
"Daily","2018","no migration background","general elemantary","","","",""
"Daily","2018","no migration background","middle vocational","","","",""
"Daily","2018","no migration background","vocational + Abi","","","",""
"Daily","2018","no migration background","higher vocational","","","",""
"Daily","2018","no migration background","higher education","","","",""
"Daily","2018","direct migration background","in school","","","",""
"Daily","2018","direct migration background","inadequately","15","","",""
"Daily","2018","direct migration background","general elemantary","9","","",""
"Daily","2018","direct migration background","middle vocational","6","","",""
"Daily","2018","direct migration background","vocational + Abi","1","","",""
"Daily","2018","direct migration background","higher vocational","","","",""
"Daily","2018","direct migration background","higher education","4","","",""
"Daily","2018","indirect migration background","in school","","","",""
"Daily","2018","indirect migration background","inadequately","","","",""
"Daily","2018","indirect migration background","general elemantary","","","",""
"Daily","2018","indirect migration background","middle vocational","","","",""
"Daily","2018","indirect migration background","vocational + Abi","","","",""
"Daily","2018","indirect migration background","higher vocational","","","",""
"Daily","2018","indirect migration background","higher education","","","",""
"Min 1x per week","2018","no migration background","in school","","","",""
"Min 1x per week","2018","no migration background","inadequately","","","",""
"Min 1x per week","2018","no migration background","general elemantary","","","",""
"Min 1x per week","2018","no migration background","middle vocational","","","",""
"Min 1x per week","2018","no migration background","vocational + Abi","","","",""
"Min 1x per week","2018","no migration background","higher vocational","","","",""
"Min 1x per week","2018","no migration background","higher education","","","",""
"Min 1x per week","2018","direct migration background","in school","1","","",""
"Min 1x per week","2018","direct migration background","inadequately","110","0.0968312042935034","0.0816044960246415","0.112057912562365"
"Min 1x per week","2018","direct migration background","general elemantary","65","0.0782988811749753","0.0589433512255746","0.0976544111243759"
"Min 1x per week","2018","direct migration background","middle vocational","47","0.0769194337988025","0.0565596581770823","0.0972792094205228"
"Min 1x per week","2018","direct migration background","vocational + Abi","6","","",""
"Min 1x per week","2018","direct migration background","higher vocational","","","",""
"Min 1x per week","2018","direct migration background","higher education","56","0.0958312651009897","0.0733570911896575","0.118305439012322"
"Min 1x per week","2018","indirect migration background","in school","","","",""
"Min 1x per week","2018","indirect migration background","inadequately","","","",""
"Min 1x per week","2018","indirect migration background","general elemantary","","","",""
"Min 1x per week","2018","indirect migration background","middle vocational","","","",""
"Min 1x per week","2018","indirect migration background","vocational + Abi","","","",""
"Min 1x per week","2018","indirect migration background","higher vocational","","","",""
"Min 1x per week","2018","indirect migration background","higher education","","","",""
"Min 1x per month","2018","no migration background","in school","","","",""
"Min 1x per month","2018","no migration background","inadequately","","","",""
"Min 1x per month","2018","no migration background","general elemantary","","","",""
"Min 1x per month","2018","no migration background","middle vocational","","","",""
"Min 1x per month","2018","no migration background","vocational + Abi","","","",""
"Min 1x per month","2018","no migration background","higher vocational","","","",""
"Min 1x per month","2018","no migration background","higher education","","","",""
"Min 1x per month","2018","direct migration background","in school","1","","",""
"Min 1x per month","2018","direct migration background","inadequately","116","0.0885098040244006","0.0738851504055734","0.103134457643228"
"Min 1x per month","2018","direct migration background","general elemantary","67","0.131778851515766","0.107408024310098","0.156149678721435"
"Min 1x per month","2018","direct migration background","middle vocational","60","0.0766834704481935","0.0563523492546148","0.0970145916417721"
"Min 1x per month","2018","direct migration background","vocational + Abi","11","","",""
"Min 1x per month","2018","direct migration background","higher vocational","","","",""
"Min 1x per month","2018","direct migration background","higher education","60","0.0975500752185861","0.0748968133936585","0.120203337043514"
"Min 1x per month","2018","indirect migration background","in school","","","",""
"Min 1x per month","2018","indirect migration background","inadequately","","","",""
"Min 1x per month","2018","indirect migration background","general elemantary","","","",""
"Min 1x per month","2018","indirect migration background","middle vocational","","","",""
"Min 1x per month","2018","indirect migration background","vocational + Abi","","","",""
"Min 1x per month","2018","indirect migration background","higher vocational","","","",""
"Min 1x per month","2018","indirect migration background","higher education","","","",""
"Rarely","2018","no migration background","in school","","","",""
"Rarely","2018","no migration background","inadequately","","","",""
"Rarely","2018","no migration background","general elemantary","","","",""
"Rarely","2018","no migration background","middle vocational","","","",""
"Rarely","2018","no migration background","vocational + Abi","","","",""
"Rarely","2018","no migration background","higher vocational","","","",""
"Rarely","2018","no migration background","higher education","","","",""
"Rarely","2018","direct migration background","in school","1","","",""
"Rarely","2018","direct migration background","inadequately","243","0.184369596896442","0.164402944634415","0.204336249158469"
"Rarely","2018","direct migration background","general elemantary","147","0.219178722385132","0.18937247879238","0.248984965977884"
"Rarely","2018","direct migration background","middle vocational","137","0.238920534009414","0.206338598105502","0.271502469913327"
"Rarely","2018","direct migration background","vocational + Abi","14","","",""
"Rarely","2018","direct migration background","higher vocational","","","",""
"Rarely","2018","direct migration background","higher education","153","0.260741165828378","0.227220823382214","0.294261508274542"
"Rarely","2018","indirect migration background","in school","","","",""
"Rarely","2018","indirect migration background","inadequately","","","",""
"Rarely","2018","indirect migration background","general elemantary","","","",""
"Rarely","2018","indirect migration background","middle vocational","","","",""
"Rarely","2018","indirect migration background","vocational + Abi","","","",""
"Rarely","2018","indirect migration background","higher vocational","","","",""
"Rarely","2018","indirect migration background","higher education","","","",""
