"hlf0001_h","year","e11103","sex","n","percent","lower_confidence","upper_confidence","value"
"Owner","2018","Full Time","Female","1576","0.429902757910983","0.413782443440728","0.446023072381238","3"
"Owner","2018","Part Time","Male","822","0.403091861342538","0.383093063826361","0.423090658858714","3"
"Owner","2018","Part Time","Female","2769","0.534211654189802","0.521048875263692","0.547374433115911","3"
"Owner","2018","Not Working","Male","1920","0.532263603126151","0.519077067453898","0.545450138798403","3"
"Owner","2018","Not Working","Female","2248","0.48346922361754","0.471350482135138","0.495587965099943","3"
"Sub-Tenant","2018","Full Time","Male","93","0.0181627987051191","0.0149023193725298","0.0214232780377084","2"
"Sub-Tenant","2018","Full Time","Female","44","0.0157704622053871","0.0117136553423869","0.0198272690683873","2"
"Sub-Tenant","2018","Part Time","Male","59","0.0308671091699054","0.0238155076322649","0.0379187107075459","2"
"Sub-Tenant","2018","Part Time","Female","80","0.0195649472693832","0.0159103009447484","0.023219593594018","2"
"Sub-Tenant","2018","Not Working","Male","106","0.0164985644073673","0.0131320744471584","0.0198650543675762","2"
"Sub-Tenant","2018","Not Working","Female","115","0.014940770951795","0.0119987708794525","0.0178827710241374","2"
"Tenant","2018","Full Time","Male","","","","","5"
"Tenant","2018","Full Time","Female","","","","","5"
"Tenant","2018","Part Time","Male","","","","","5"
"Tenant","2018","Part Time","Female","","","","","5"
"Tenant","2018","Not Working","Male","","","","","5"
"Tenant","2018","Not Working","Female","","","","","5"
"Main Tenant","2019","Full Time","Male","3020","0.461458151990641","0.449856789400157","0.473059514581125","1"
"Main Tenant","2019","Part Time","Male","1407","0.559901666966528","0.540070841698624","0.579732492234431","1"
"Main Tenant","2019","Full Time","Female","1932","0.544051475658026","0.528063700105169","0.560039251210884","1"
"Main Tenant","2019","Part Time","Female","2421","0.446841867419604","0.433427934694281","0.460255800144928","1"
"Main Tenant","2019","Not Working","Male","2948","0.432520666709777","0.418909030846836","0.446132302572717","1"
"Main Tenant","2019","Not Working","Female","3692","0.480341091042741","0.467843297875722","0.49283888420976","1"
"Nursing Home/Retirement Community","2019","Full Time","Male","1","","","","4"
"Nursing Home/Retirement Community","2019","Full Time","Female","","","","","4"
"Nursing Home/Retirement Community","2019","Part Time","Male","","","","","4"
"Nursing Home/Retirement Community","2019","Part Time","Female","","","","","4"
"Nursing Home/Retirement Community","2019","Not Working","Female","35","0.0123002045022034","0.00954300670866232","0.0150574022957444","4"
"Nursing Home/Retirement Community","2019","Not Working","Male","25","","","","4"
"Owner","2019","Full Time","Male","3978","0.520174266540901","0.508547758113171","0.531800774968632","3"
"Owner","2019","Full Time","Female","1752","0.440594158356377","0.424657656225079","0.456530660487676","3"
"Owner","2019","Part Time","Female","2772","0.532938027473084","0.519476939777445","0.546399115168722","3"
"Owner","2019","Part Time","Male","916","0.405681886533497","0.386065801392723","0.425297971674271","3"
"Owner","2019","Not Working","Female","2265","0.486894163603993","0.474390996486839","0.499397330721147","3"
"Owner","2019","Not Working","Male","1981","0.541317636236693","0.527627304403619","0.555007968069766","3"
"Sub-Tenant","2019","Full Time","Male","94","0.0181439043871038","0.015037754521544","0.0212500542526637","2"
"Sub-Tenant","2019","Full Time","Female","44","0.0153543659855961","0.0114073756495156","0.0193013563216767","2"
"Sub-Tenant","2019","Part Time","Male","84","0.0344164464999752","0.0271338207975785","0.0416990722023719","2"
"Sub-Tenant","2019","Part Time","Female","84","0.020220105107312","0.0164224938152887","0.0240177163993353","2"
"Sub-Tenant","2019","Not Working","Male","135","0.0170492125392745","0.0134924905867216","0.0206059344918273","2"
"Sub-Tenant","2019","Not Working","Female","147","0.0204645408510625","0.0169228523785553","0.0240062293235698","2"
"Tenant","2019","Full Time","Male","","","","","5"
"Tenant","2019","Full Time","Female","","","","","5"
"Tenant","2019","Part Time","Male","","","","","5"
"Tenant","2019","Part Time","Female","","","","","5"
"Tenant","2019","Not Working","Male","","","","","5"
"Tenant","2019","Not Working","Female","","","","","5"
