"pgoeffd","year","education","migback","n","percent","lower_confidence","upper_confidence"
"Yes","2019","secondary school degree","indirect migration background","70","0.190790373618627","0.145645302032371","0.235935445204882"
"Yes","2019","college entrance qualification","no migration background","1605","0.374380675043005","0.360077506122751","0.388683843963259"
"Yes","2019","college entrance qualification","direct migration background","62","0.235473048094505","0.184291533872","0.28665456231701"
"Yes","2019","college entrance qualification","indirect migration background","121","0.316784843674155","0.271698254644817","0.361871432703494"
"Yes","2019","Other degree","no migration background","","","",""
"Yes","2019","Other degree","direct migration background","291","0.17225457050448","0.15598011015543","0.188529030853529"
"Yes","2019","Other degree","indirect migration background","","","",""
"Yes","2019","no degree/no degree yet","no migration background","","","",""
"Yes","2019","no degree/no degree yet","direct migration background","","","",""
"Yes","2019","no degree/no degree yet","indirect migration background","","","",""
"No","2019","lower secondary degree","no migration background","1452","0.821660787506702","0.803776919325088","0.839544655688316"
"No","2019","lower secondary degree","direct migration background","216","0.848104887742012","0.803069919533363","0.89313985595066"
"No","2019","lower secondary degree","indirect migration background","173","0.855953623911691","0.807044286227413","0.904862961595968"
"No","2019","secondary school degree","no migration background","3009","0.76046984978131","0.747171854960259","0.773767844602361"
"No","2019","secondary school degree","direct migration background","156","0.711075181326377","0.648099664859268","0.774050697793486"
"No","2019","secondary school degree","indirect migration background","221","0.809209626381373","0.764064554795118","0.854354697967629"
"No","2019","college entrance qualification","no migration background","2793","0.625619324956995","0.611316156036741","0.639922493877249"
"No","2019","college entrance qualification","direct migration background","202","0.764526951905495","0.71334543768299","0.815708466128"
"No","2019","college entrance qualification","indirect migration background","288","0.683215156325845","0.638128567296506","0.728301745355183"
"No","2019","Other degree","no migration background","41","0.781765193614697","0.67260434069227","0.890926046537123"
"No","2019","Other degree","direct migration background","1777","0.82774542949552","0.811470969146471","0.84401988984457"
"No","2019","Other degree","indirect migration background","","","",""
"No","2019","no degree/no degree yet","no migration background","103","0.885480694545595","0.826505690287729","0.94445569880346"
"No","2019","no degree/no degree yet","direct migration background","436","0.829975418260545","0.795721080496652","0.864229756024438"
"No","2019","no degree/no degree yet","indirect migration background","","","",""
